id,name,addr,lat,lng,location
0,강정동,제주특별자치도 서귀포시 일주서로 166,33.2533332108606,126.490948948242,제주
1,남원읍,제주특별자치도 서귀포시 남원읍 남한로 67,33.2842654678857,126.714872394043,제주
2,대정읍,제주특별자치도 서귀포시 대정읍 동일하모로149번길 21-8,33.2278859250662,126.247729104957,제주
3,동홍동,제주 서귀포시 동홍동 453-1,33.2515012511336,126.566997647707,제주
4,성산읍,제주 서귀포시 성산읍 일주동로 4120번길 7,33.4602889421094,126.909648974203,제주
5,애월읍,제주특별자치도 제주시 애월읍 고내리 1319,33.4646892662297,126.331494477028,제주
6,연동,제주 제주시 연동 322-1 번지,33.4890451973362,126.500458122035,제주
7,이도동,제주 제주시 이도2동 1176-1,33.4998056739686,126.53135203108,제주
8,조천읍,제주특별자치도 제주시 조천읍 조천18길 11-1,33.5395361411297,126.643719243436,제주
9,한림읍,제주특별자치도 제주시 한림읍 한림중앙로 71-9,33.4096918414655,126.268544091817,제주
10,화북동,제주특별자치도 제주시 화북일동 1098,33.516903763336,126.570170748835,제주
