id,name,addr,lat,lng,dong
302,동양월드마트 일도점, 제주특별자치도 제주시 태성로 24 ,33.5008572368792,126.548652449291,일도이동
303,키친마트, 제주특별자치도 제주시 월랑로 96 ,33.4929667810095,126.472018876098,도두일동
304,올래수산마트, 제주특별자치도 제주시 테우해안로 166 ,33.4968189326148,126.451495762171,이호일동
305,신라마트, 제주특별자치도 제주시 성신로 15 ,33.4912288972435,126.485072307877,연동
306,나우리쎄븐마트, 제주특별자치도 제주시 임항로 265 ,33.5170997566581,126.538782252162,건입동
307,도남크리닝마트, 제주특별자치도 제주시 도남로 104 ,33.491158642495,126.527781288758,도남동
308,대정농협하나로마트, 제주특별자치도 서귀포시 대정읍 일주서로 2460 ,33.2340424591668,126.264198746261,대정읍 상모리
309,예스마트, 제주특별자치도 제주시 연화로2길 16 ,33.4772929047788,126.48884305372,연동
310,한라전복마트, 제주특별자치도 서귀포시 성산읍 해맞이해안로 2732 ,33.4709615436249,126.916977153672,성산읍 오조리
311,영진마트, 제주특별자치도 서귀포시 중정로91번길 14 ,33.2495244306743,126.565447793153,서귀동
312,애월농협 하나로마트, 제주특별자치도 제주시 애월읍 애원로 41 ,33.4604320146266,126.321905818586,애월읍 애월리
313,제주하도농수산마트, 제주특별자치도 제주시 동문로 6-8 ,33.5122113539073,126.527023650217,일도일동
314,기쁨두배한라마트, 제주특별자치도 제주시 연동7길 16 ,33.488530626459,126.490572574089,연동
315,생활용품디씨마트, 제주특별자치도 서귀포시 대정읍 하모상가로 38-2 ,33.221402462474,126.252972628934,대정읍 하모리
316,행운마트, 제주특별자치도 제주시 일주서로 7525 ,33.4951520722198,126.450396291001,이호일동
317,서귀포과일마트, 제주특별자치도 서귀포시 중앙로42번길 6 ,33.2482793805518,126.56241666663,서귀동
318,디앤씨마트 서귀점, 제주특별자치도 서귀포시 동홍로 79 ,33.2556854007132,126.56758086997,동홍동
319,지우마트, 제주특별자치도 서귀포시 서호남로 19-19 ,33.2532669047025,126.514479511826,서호동
320,남원농협하나로마트, 제주특별자치도 서귀포시 남원읍 남원리 226  ,33.284315500175,126.721792260898,남원읍 남원리
321,신광마트, 제주특별자치도 제주시 태성중1길 5 ,33.5010526561891,126.545753322985,일도이동
322,별천지미니마트, 제주특별자치도 제주시 조천읍 북촌13길 23 ,33.5511154600514,126.695995061633,조천읍 북촌리
323,그린탑마트, 제주특별자치도 제주시 용한로 3 ,33.5096834913888,126.511324829478,용담이동
324,GS마트, 제주특별자치도 서귀포시 일주동로 8678 ,33.2534275505275,126.561226028431,동홍동
325,천냥DC마트, 제주특별자치도 제주시 구좌읍 구좌로 42-2 ,33.5232214980342,126.856047880286,구좌읍 세화리
326,마트로 연동점, 제주특별자치도 제주시 일주서로 7822 ,33.4933705966875,126.48229532502,연동
327,코사마트나들가게 성신슈퍼점, 제주특별자치도 제주시 사라봉3길 15 ,33.5171330126369,126.540963326422,건입동
328,에스엠마트, 제주특별자치도 제주시 애월읍 가문동길 43 ,33.4862860916696,126.3920709277,애월읍 하귀2리
329,미니마트, 제주특별자치도 제주시 서광로26길 16-1 ,33.4984588629706,126.524345385135,삼도일동
330,동아마트, 제주특별자치도 제주시 동광로19길 47 ,33.512398154672,126.54026548493,일도이동
331,LG마트, 제주특별자치도 제주시 추자면 추자로 70 ,33.961095620576,126.294838632144,추자면 영흥리
332,쇠질곳휴게마트, 제주특별자치도 제주시 애월읍 엄장로 87 ,33.4673731736052,126.37927318043,애월읍 수산리
333,연지농수산마트, 제주특별자치도 제주시 다호북길 111 ,33.502688128534,126.486531671174,도두이동
334,디씨마트, 제주특별자치도 제주시 동문로 8-1 ,33.5128730968875,126.527560680131,일도일동
335,정민할인마트, 제주특별자치도 서귀포시 동홍로 34 ,33.2515697835296,126.56790740378,동홍동
336,대영마트, 제주특별자치도 제주시 동광로15길 41 ,33.5081802971722,126.535062583493,일도이동
337,전남할인마트, 제주특별자치도 제주시 한림읍 한림북동길 6-1 ,33.41572225885,126.264467004459,한림읍 한림리
338,신산훼미리마트, 제주특별자치도 제주시 신산로9길 28 ,33.5090964911843,126.536360824025,일도이동
339,오멍가멍휴게마트, 제주특별자치도 제주시 구좌읍 충렬로 2 ,33.5204095276626,126.856384612905,구좌읍 세화리
340,코사마트, 제주특별자치도 서귀포시 중앙로 199 ,33.2622577816759,126.558536378334,서홍동
341,노빌마트, 제주특별자치도 제주시 신대로 67 ,33.4913214722414,126.496987300071,연동
342,중앙마트, 제주특별자치도 제주시 추자면 추자로 8-1 ,33.9630289284648,126.297727119513,추자면 대서리
343,그린마트 기산점, 제주특별자치도 제주시 삼성로5길 9 ,33.5071165570588,126.529487003734,일도이동
344,준영마트, 제주특별자치도 서귀포시 천지연로 10 ,33.2417674775665,126.565281130505,서귀동
345,제주시농협 하나로마트 제주점, 제주특별자치도 제주시 남광로 206 ,33.5037835445866,126.553106499621,일도이동
346,대성마트, 제주특별자치도 제주시 한림읍 한림해안로 143 ,33.415730675887,126.261588919538,한림읍 한림리
347,장미마트, 제주특별자치도 제주시 동광로15길 32-1 ,33.5076395373176,126.536028499979,일도이동
348,해진마트, 제주특별자치도 제주시 추자면 추자로 753 ,33.9557071146034,126.332280196253,추자면 예초리
349,민경코사마트, 제주특별자치도 제주시 도남로5길 10 ,33.4972637193765,126.527221386426,도남동
350,진동산마트, 제주특별자치도 서귀포시 대정읍 상모로273번길 17 ,33.22171221454,126.260557158717,대정읍 상모리
351,동아코사마트, 제주특별자치도 제주시 중앙로 128 ,33.5071645406013,126.524462213067,삼도이동
352,명동마트, 제주특별자치도 제주시 신광로 36 ,33.4889794419341,126.489696762476,연동
353,조천하나로마트, 제주특별자치도 제주시 조천읍 신북로 240 ,33.5362956682311,126.638255733282,조천읍 조천리
354,홍토산마트, 제주특별자치도 제주시 용마서길 34 ,33.5149566270669,126.502066907606,용담삼동
355,코사마트 장안마트, 제주특별자치도 제주시 서문로6길 7 ,33.5113314905222,126.518550711078,용담일동
356,미니아름마트, 제주특별자치도 제주시 광양1길 23 ,33.5035514696154,126.528179454507,이도일동
357,하동코사마트, 제주특별자치도 서귀포시 하원로 5 ,33.2545036941319,126.461054588371,하원동
358,안덕농협 하나로마트, 제주특별자치도 서귀포시 안덕면 화순로 122 ,33.2467156863896,126.333441520855,안덕면 화순리
359,수산정육할인마트, 제주특별자치도 제주시 도남로 104 ,33.491158642495,126.527781288758,도남동
360,현우농수마트, 제주특별자치도 제주시 용해로 74 ,33.5106700348236,126.503080671818,용담이동
361,완보마트, 제주특별자치도 서귀포시 중정로73번길 9 ,33.248926170318,126.56386841219,서귀동
362,DC마트, 제주특별자치도 제주시 서문로 7-1 ,33.5096991318186,126.512342462268,용담일동
363,하원옥돔마트, 제주특별자치도 서귀포시 일주서로 486 ,33.2539351113839,126.456864113165,하원동
364,신동양마트, 제주특별자치도 제주시 오현길 86 ,33.512353726976,126.525494309262,이도일동
365,럭키코사마트, 제주특별자치도 제주시 중앙로 85 ,33.5106538034885,126.524184604063,이도일동
366,제스코마트, 제주특별자치도 제주시 연북로 444 파리바게뜨와 JEEP 매장 사이 ,33.4802172374332,126.529080428764,도남동
367,굿마트, 제주특별자치도 제주시 동문로10길 1 ,33.5129353238586,126.531410736702,일도일동
368,코코마트, 제주특별자치도 제주시 국기로2길 6 ,33.4799128126151,126.490411607139,연동
369,덕성마트, 제주특별자치도 서귀포시 마소물로8번길 8 ,33.2439422547087,126.59978561701,보목동
370,달빛마트, 제주특별자치도 제주시 한경면 신정로 216-1 ,33.3180459853199,126.199677544943,한경면 고산리
371,정희마트, 제주특별자치도 제주시 동문로21길 21 ,33.5158245874093,126.536835771626,건입동
372,유신종합마트, 제주특별자치도 제주시 동문로2길 9 ,33.51225817886,126.526819651396,일도일동
373,코사마트 추자점, 제주특별자치도 제주시 추자면 추자로 18-1 ,33.9636858566473,126.297047564882,추자면 대서리
