ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202309,최강유통,제주시,봉개동,제주시내,주점및주류판매,주류,1.07,0.22,0.04,0.02,0.16,0.1,-0.04,3302,다나18b99b
202309,수만바베큐치킨,제주시,아라동,제주시내,패스트푸드,치킨,2.12,2.02,0.02,0.09,0.27,0.83,-0.58,12863,다나11a98a
202309,떡보킹외도점,제주시,외도동,제주시내,한식,단품요리 전문,0.01,0.03,0,0,0,0.01,0,505,다나00b99b
202309,신의주찹쌀순대제주본점,제주시,노형동,제주시내,한식,순대,2.39,3.28,0.09,0.56,0.37,1.67,-1.01,14002,다나05b99b
202309,영복갈비제주본점,제주시,노형동,제주시내,한식,갈비,15.34,6.62,0.31,0.36,2.12,2.78,-1.68,14578,다다04b00a
202309,못난이꽈배기 노형점,제주시,노형동,제주시내,베이커리.디저트,베이커리,0.01,0.09,0,0.02,0,0.05,0.09,48,다나05a98b
202309,윤씨네숯불갈비,서귀포시,동홍동,서귀포시내,한식,갈비,0.6,0.28,0,0,0.07,0.11,-0.09,5429,다나13a74a
202309,쇼밥(보목점),서귀포시,송산동,서귀포시내,양식,양식,0.47,0.26,0.06,0.17,0.11,0.23,-0.15,7741,다나15b72b
202309,쓰리국밥,서귀포시,중앙동,서귀포시내,한식,국밥,0.57,1.1,0.03,0.24,0.1,0.61,-0.5,12461,다나12b73b
202309,더치앤빈 제주노형점,제주시,노형동,제주시내,카페,커피,1.41,8.39,0.04,0.76,0.21,3.76,-2.22,14772,다나05a99b
202309,별미돈,제주시,아라동,제주시내,한식,돼지고기,0.47,0.38,0.06,0.06,0.11,0.19,-0.12,6599,다나11b98a
202309,신토불이수산,제주시,노형동,제주시내,한식,회,0.93,0.38,0.02,0.03,0.13,0.17,-0.08,5304,다나04b99b
202309,파스쿠찌 서귀포 일호광장점,서귀포시,천지동,서귀포시내,카페,커피,0.85,3.78,0.03,0.62,0.13,1.91,-1.09,14116,다나12b73b
202309,분위기,제주시,이도2동,제주시내,한식,가정식,0.47,0.63,0,0,0.06,0.24,-0.14,7263,다다09b00a
202309,더막스,제주시,화북동,제주시내,한식,단품요리 전문,0.11,0.09,0,0,0.01,0.04,-0.02,1815,다다13a03b
202309,사누끼참치우동,서귀포시,동홍동,서귀포시내,아시아음식,참치,0.1,0.06,0,0,0.01,0.02,-0.02,1816,다나13b74a
202309,씨커,제주시,노형동,제주시내,한식,단품요리 전문,0.37,1.55,0.02,0.21,0.06,0.75,-0.46,12222,다나04b99a
202309,가야포도원,제주시,봉개동,제주시내,한식,단품요리 전문,1.11,0.63,0.01,0.05,0.14,0.27,-0.16,8108,다나16a99b
202309,완벽한인생 제주노형점,제주시,노형동,제주시내,주점,주류,0.58,0.47,0.02,0.06,0.09,0.23,-0.13,6982,다나05b99b
202309,샌드데이중앙점,제주시,일도1동,제주시내,간식,샌드위치/토스트,0.05,0.06,0,0,0.01,0.02,-0.02,1817,다다09a02b
202309,뽕이네각재기3호점서귀포,서귀포시,서홍동,서귀포시내,한식,가정식,0.22,0.4,0.01,0.05,0.03,0.19,-0.14,7385,다나11a74a
202309,베이커리 포그,제주시,아라동,제주시내,베이커리.디저트,베이커리,3.89,8.48,0.04,0.29,0.5,3.42,-1.87,14660,다나11a98a
