ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202106,한국맥도날드(유)제주노형점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,42.63,102,0.61,8.78,2.49,31.1,-39.57,16779,다나05a99b
202106,버거킹제주이마트점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,11.81,26.89,0.18,2.5,0.7,8.36,-15.57,16750,다나05a99b
202106,투썸플레이스 제주노형오거리점,제주시,노형동,제주시 동지역,음료,커피,4.41,11.41,0.08,0.99,0.28,3.48,-5.32,16564,다나05a99b
202106,에이바우트커피아이파크점,제주시,노형동,제주시 동지역,음료,커피,2.47,9.83,0.03,0.58,0.13,2.75,-4.75,16522,다나05a99b
202106,던킨도너츠신제주점,제주시,노형동,제주시 동지역,간식,도너츠,3.96,8.36,0.02,0.3,0.19,2.17,-4.25,16474,다나05a99b
202106,타이거커피 제주점,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.33,8.13,0.01,0.31,0.07,2.13,-2.97,16221,다나05a99b
202106,주식회사 파스쿠찌제주노형로터리점,제주시,노형동,제주시 동지역,음료,커피,2.94,7.51,0.03,0.47,0.16,2.13,-4.43,16495,다나05a99b
202106,뚜레쥬르 노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,3.42,6.98,0.03,0.35,0.18,1.9,-3.6,16363,다나05a99b
202106,더치앤빈 노형점,제주시,노형동,제주시 동지역,음료,커피,1.86,6.64,0.02,0.33,0.1,1.8,-3.6,16364,다나05a99b
202106,파리바게뜨노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,2.19,4.94,0.03,0.49,0.13,1.56,-3.25,16293,다나05a99b
