ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202107,한국맥도날드(유)제주노형점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,27.06,101.76,0.54,7.72,1.98,26.56,-4.54,16767,다나05a99b
202107,버거킹제주이마트점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,7.56,27.13,0.17,2.33,0.57,7.33,-1.03,16612,다나05a99b
202107,투썸플레이스 제주노형오거리점,제주시,노형동,제주시 동지역,음료,커피,2.52,10.01,0.05,0.67,0.18,2.53,-0.95,16594,다나05a99b
202107,주식회사 파스쿠찌제주노형로터리점,제주시,노형동,제주시 동지역,음료,커피,2.47,8.9,0.04,0.48,0.17,2.14,0.01,2891,다나05a99b
202107,에이바우트커피아이파크점,제주시,노형동,제주시 동지역,음료,커피,1.21,8.35,0.02,0.51,0.08,2.07,-0.68,16464,다나05a99b
202107,(유)아웃백스테이크하우스코리아제주점,제주시,노형동,제주시 동지역,양식,패밀리 레스토랑,16.51,8.06,0.3,0.53,1.19,2.03,0.72,28,다나05a99b
202107,타이거커피 제주점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.83,6.75,0.01,0.38,0.06,1.64,-0.49,16241,다나05a99b
202107,더치앤빈 노형점,제주시,노형동,제주시 동지역,음료,커피,1.12,6.62,0.02,0.36,0.08,1.6,-0.2,14975,다나05a99b
202107,뚜레쥬르 노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,2.15,5.7,0.01,0.21,0.13,1.28,-0.62,16402,다나05a99b
202107,던킨도너츠신제주점,제주시,노형동,제주시 동지역,간식,도너츠,1.55,5.62,0.01,0.23,0.1,1.29,-0.88,16566,다나05a99b
202107,파리바게뜨노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,1.34,5.2,0.04,0.56,0.11,1.51,-0.05,11320,다나05a99b
202107,루스트플레이스아이파크점,제주시,노형동,제주시 동지역,양식,양식,4.24,4.68,0.04,0.15,0.27,1.03,-0.17,14604,다나05a99b
202107,더벤티제주노형점,제주시,노형동,제주시 동지역,음료,커피,0.64,4.65,0.01,0.24,0.04,1.11,-0.21,15062,다나05a99b
202107,향계,제주시,노형동,제주시 동지역,한식,단품요리 전문,4.91,2.94,0.05,0.11,0.31,0.66,0.29,117,다나05a99b
202107,제주포레스트주식회사 포메인제주노형점,제주시,노형동,제주시 동지역,아시아음식,동남아/인도음식,2.27,2.68,0.08,0.33,0.2,0.81,-0.06,11368,다나05a99b
202107,수영,제주시,노형동,제주시 동지역,한식,가정식,1.16,2.68,0.03,0.24,0.09,0.73,-0.22,15168,다나05a99b
202107,메종드쁘띠푸르3호점,제주시,노형동,제주시 동지역,간식,베이커리,1.17,2.5,0.04,0.24,0.1,0.69,-0.27,15560,다나05a99b
