ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202304,벨라,제주시,연동,제주시내,한식,단품요리 전문,4.32,0.03,0,0,0.4,0.01,0.03,11576,다나06a99b
202304,춘천명동닭갈비연동점,제주시,연동,제주시내,한식,갈비,2.55,1.47,0.15,0.41,0.38,0.93,0.43,3746,다나06a99b
202304,차포차,제주시,연동,제주시내,한식,가정식,0.69,0.33,0,0.01,0.07,0.14,0.18,7294,다나06a99b
202304,신제주신신불닭발연동,제주시,연동,제주시내,한식,치킨,2,1.23,0.05,0.21,0.24,0.66,0.31,5142,다나06a99b
202304,해븐해븐,제주시,연동,제주시내,양식,양식,0.37,0.06,0,0,0.03,0.02,0.02,12037,다나06a99b
202304,어신횟집,제주시,연동,제주시내,일식.회,회,0.54,0.21,0.1,0.15,0.14,0.2,0.12,8766,다다06a00a
202304,보름달,제주시,연동,제주시내,한식,가정식,1.03,0.48,0.02,0.04,0.11,0.23,0.34,4731,다다06a00a
202304,솔담,제주시,연동,제주시내,한식,가정식,2.26,1.29,0.08,0.24,0.29,0.71,0.4,4009,다나06a99b
202304,와인도시,제주시,연동,제주시내,한식,단품요리 전문,0.95,0.42,0.05,0.1,0.14,0.25,0.11,9121,다나06a99b
202304,파스쿠찌 제주용담해안도로점,제주시,용담2동,제주시내,카페,커피,1.38,3.1,0.14,1.71,0.26,2.63,1.37,926,다다06a03b
202304,삼대국수회관 신제주점,제주시,연동,제주시내,한식,가정식,1.64,2.65,0.13,0.8,0.28,1.71,0.91,1637,다나06a99b
202304,바론,제주시,연동,제주시내,한식,단품요리 전문,1.74,3.49,0.03,0.44,0.19,1.76,1.36,936,다다06a00b
