ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202201,동백점빵,서귀포시,남원읍,남원읍,한식,베이커리,0.12,0.41,0.43,7.04,0.42,6.39,-6.39,14218,다나19b79a
202201,동방낭,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.16,0.86,0.16,5.15,0.16,4.87,-4.87,14142,다나23a76a
202201,초이당,서귀포시,남원읍,남원읍,한식,단품요리 전문,1.07,1.78,0.25,2.74,0.3,3.06,-3.06,13879,다나28a76b
202201,카페 서연의집,서귀포시,남원읍,남원읍,음료,커피,0.2,0.38,0.23,2.65,0.23,2.48,-2.48,13698,다나21a75b
202201,공천포식당,서귀포시,남원읍,남원읍,한식,가정식,0.33,0.27,0.38,1.95,0.39,1.83,-1.83,13371,다나20a75a
202201,와랑와랑,서귀포시,남원읍,남원읍,음료,커피,0.09,0.19,0.14,1.88,0.14,1.73,-1.73,13300,다나23a75b
202201,파리바게뜨제주남원점,서귀포시,남원읍,남원읍,간식,베이커리,3.79,6.79,0.13,1.8,0.33,3.96,-3.96,14050,다나27a76b
202201,메가엠지씨커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,1.34,6.39,0.04,1.8,0.12,3.82,-3.82,14018,다나27a76b
202201,모노클제주,서귀포시,남원읍,남원읍,한식,커피,0.97,1.4,0.17,1.72,0.22,2.01,-2.01,13480,다나24a76a
202201,제주머슴네,서귀포시,남원읍,남원읍,한식,가정식,0.05,0.11,0.1,1.61,0.1,1.47,-1.47,13056,다나23b76b
202201,동선제면가,서귀포시,남원읍,남원읍,한식,가정식,0.38,0.46,0.2,1.54,0.22,1.53,-1.53,13124,다나20b75b
202201,만월당,서귀포시,남원읍,남원읍,한식,단품요리 전문,1.54,0.81,0.39,1.48,0.47,1.59,-1.59,13186,다나26a76b
202201,이디야커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,0.88,2.13,0.06,1.46,0.1,2.03,-2.03,13500,다나27a76b
202201,카페지니,서귀포시,남원읍,남원읍,음료,커피,0.82,1.59,0.09,1.2,0.13,1.62,-1.62,13216,다나19b75a
202201,위미동백식당,서귀포시,남원읍,남원읍,한식,가정식,0.04,0.05,0.14,1.15,0.14,1.04,-1.04,12414,다나23a76a
202201,모카,서귀포시,남원읍,남원읍,한식,커피,0.18,0.35,0.1,1.12,0.1,1.12,-1.12,12556,다나31a78a
202201,주식회사 미스터크랩태흥,서귀포시,남원읍,남원읍,한식,단품요리 전문,1.61,0.65,0.39,1.09,0.47,1.19,-1.19,12697,다나30a77b
202201,범일분식,서귀포시,남원읍,남원읍,간식,분식,0.33,0.49,0.12,1.04,0.13,1.1,-1.1,12517,다나27a76b
202201,미깡,서귀포시,남원읍,남원읍,음료,커피,0.07,0.11,0.08,1.04,0.08,0.96,-0.96,12201,다나18a76b
202201,세러데이아일랜드,서귀포시,남원읍,남원읍,양식,양식,0.1,0.16,0.08,0.9,0.08,0.85,-0.85,11917,다나26b76b
