ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202302,둘리네국수,제주시,연동,제주시내,한식,면류,1.28,1.76,0.05,0.25,0.17,0.76,0.72,897,다나06a99b
202302,솔이네막창순대,제주시,연동,제주시내,한식,막창,0.44,0.37,0.01,0.07,0.05,0.18,0.25,3074,다나06a99b
202302,조마루감자탕 연동점,제주시,연동,제주시내,고기,감자탕,1.96,2.16,0.07,0.45,0.25,1.05,0.66,1005,다다06a00a
202302,하얼빈양꼬치,제주시,연동,제주시내,주점및주류판매,꼬치구이,0.27,0.13,0,0.02,0.03,0.06,0.02,9825,다나06a99b
202302,케이팝,제주시,연동,제주시내,한식,단품요리 전문,0.15,0.03,0,0,0.01,0.01,0,10847,다다06a00a
202302,제주정곱창,제주시,연동,제주시내,고기,곱창,1.41,0.67,0.08,0.13,0.21,0.32,0,10848,다나06a99b
202302,한국맥도날드(유)제주공항DT점,제주시,용담2동,제주시내,패스트푸드,햄버거,13.43,49.03,0.58,7.81,1.79,21.82,9.22,9,다다06a00b
202302,신제주황가네,제주시,연동,제주시내,한식,가정식,0.9,0.43,0.02,0.05,0.1,0.18,0.06,7780,다나06a99b
202302,모드니,제주시,연동,제주시내,한식,가정식,0.38,0.27,0.01,0.05,0.05,0.12,-0.08,13824,다나06a99b
202302,커피베이 제주공항국내선1호점,제주시,용담2동,제주시내,음료,커피,0.71,3.36,0.34,4.8,0.4,5.12,3.22,57,다다06a02a
202302,정든식당,제주시,연동,제주시내,한식,가정식,0.33,0.6,0.01,0.05,0.04,0.23,0.09,6596,다다06a00a
202302,지지고부치고,제주시,연동,제주시내,한식,가정식,0.2,0.27,0.01,0.04,0.03,0.11,0.01,10729,다나06a99b
202302,명품대게제주횟집,제주시,연동,제주시내,한식,회,0.69,0.1,0.01,0.01,0.07,0.04,0.09,6597,다다06b00a
202302,족발신선생제주점,제주시,연동,제주시내,한식,족발,1.36,0.93,0.04,0.1,0.16,0.37,0.28,2741,다다06b00a
202302,신사본가송탄부대찌개,제주시,연동,제주시내,한식,단품요리 전문,0.88,1.03,0.02,0.11,0.1,0.41,0.34,2234,다다06b00a
202302,궁한스샤브신제주점,제주시,연동,제주시내,한식,샤브샤브,3.81,1.3,0.08,0.06,0.42,0.45,-0.01,11950,다나06b99a
202302,꽃보다소제주연동점,제주시,연동,제주시내,한식,단품요리 전문,1.28,0.67,0.03,0.07,0.15,0.27,-0.12,14244,다다06b00a
202302,에바돈가츠제주연동점,제주시,연동,제주시내,한식,돼지고기,0.05,0.1,0,0.01,0.01,0.04,-0.03,12667,다다06b00a
202302,이금돈지,제주시,연동,제주시내,한식,돼지고기,0.84,0.23,1.54,1.89,1.58,1.68,-1.68,14782,다나06b99b
202302,나눔마당,제주시,연동,제주시내,한식,가정식,0.32,0.23,0,0,0.03,0.07,0.06,7781,다나06b99b
202302,식객의주방,제주시,연동,제주시내,한식,단품요리 전문,0.1,0.07,0.01,0.01,0.01,0.03,0.01,10543,다나06b99b
202302,미나리,제주시,연동,제주시내,한식,단품요리 전문,2.79,2.36,0.09,0.3,0.34,0.99,0.37,2003,다다06b00a
202302,일등아들,제주시,연동,제주시내,한식,가정식,0.94,0.43,0,0,0.08,0.13,0.09,6598,다나06b99b
202302,오늘김밥,제주시,연동,제주시내,한식,분식,0.84,2.8,0.03,0.41,0.11,1.22,0.53,1331,다나06b99b
202302,진품꽈배기,제주시,연동,제주시내,한식,단품요리 전문,0.4,1.43,0.01,0.21,0.05,0.62,-0.07,13680,다나06b99b
202302,스톤헤이븐,제주시,연동,제주시내,한식,단품요리 전문,0.28,1.63,0,0.02,0.03,0.53,0.17,4483,다다06b00a
202302,꾸브라꼬숯불두마리치킨 삼화점,제주시,화북동,제주시내,피자.치킨.햄버거,치킨,0.21,0.23,0,0.02,0.02,0.09,0.04,8695,다다14a03a
202302,제주명태어장삼화점,제주시,화북동,제주시내,한식,명태,2.38,2.2,0,0.01,0.22,0.69,0.56,1225,다다14a03a
202302,소문난돈갈비,제주시,삼양동,제주시내,한식,갈비,1.72,0.83,0.01,0.02,0.17,0.28,0.08,7201,다다14a03a
202302,마당육,제주시,삼양동,제주시내,한식,가정식,0.16,0.23,0,0.02,0.02,0.09,0.04,8696,다다14a03a
202302,에그드랍 삼화지구점,제주시,삼양동,제주시내,양식,양식,0.62,1.76,0,0.05,0.06,0.59,0.29,2639,다다14b03a
202302,벨라스카페,제주시,삼양동,제주시내,음료,커피,0.26,0.77,0.01,0.07,0.03,0.3,-0.11,14113,다다14b03a
202302,원더러스트제주,제주시,아라동,제주시내,음료,커피,0.13,0.53,0,0.02,0.01,0.19,0.05,8450,다나14b98a
202302,청춘당찹쌀꽈배기 봉개점,제주시,봉개동,제주시내,베이커리.디저트,베이커리,1.58,4.66,0.02,0.34,0.16,1.73,0.34,2281,다다14b00b
202302,아구식당,제주시,삼양동,제주시내,한식,단품요리 전문,1.52,1.17,0.01,0.05,0.15,0.4,0.38,1961,다다14b03b
202302,농부밥상,제주시,삼양동,제주시내,한식,가정식,0.24,0.27,0.01,0.02,0.03,0.1,0.08,7087,다다14b03b
202302,서문떡볶이 삼화점,제주시,삼양동,제주시내,간식,분식,0.56,1.5,0,0.07,0.05,0.53,0.09,6774,다다14b03a
202302,감수촌,제주시,삼양동,제주시내,한식,가정식,1.03,1.6,0.01,0.06,0.1,0.55,0.37,2025,다다15a03b
202302,제주형제분식,제주시,삼양동,제주시내,간식,분식,0.39,1.38,0,0.04,0.04,0.46,-0.46,14682,다다15a03b
202302,뿐이네 밥집,서귀포시,영천동,서귀포시내,한식,가정식,0.18,0.13,0,0,0.02,0.04,-0.01,11847,다나14b74a
202302,삼양다쏘니,제주시,삼양동,제주시내,한식,가정식,0.6,0.47,0.02,0.04,0.07,0.18,0.02,9720,다다15a03b
202302,제주 봄,서귀포시,영천동,서귀포시내,한식,단품요리 전문,0.11,0.17,0.06,0.19,0.07,0.22,0.02,10152,다나14b73b
202302,이조삼계탕,서귀포시,영천동,서귀포시내,한식,삼계탕,1.19,1.17,0.01,0.04,0.12,0.39,-0.03,12957,다나15a75b
202302,오가네전복설렁탕,서귀포시,영천동,서귀포시내,한식,국밥,0.62,0.57,0.37,1.07,0.41,1.08,0.58,1185,다나15a75b
