ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202103,한국맥도날드(유)제주노형점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,21.51,101.85,0.43,15.56,2.23,70.67,,,다나05a99b
202103,버거킹제주이마트점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,6.92,31.37,0.21,7.04,0.79,23.93,,,다나05a99b
202103,투썸플레이스 제주노형오거리점,제주시,노형동,제주시 동지역,음료,커피,2.75,12.16,0.08,2.24,0.31,8.8,,,다나05a99b
202103,에이바우트커피아이파크점,제주시,노형동,제주시 동지역,음료,커피,1.38,10.79,0.03,1.66,0.15,7.5,,,다나05a99b
202103,던킨도너츠신제주점,제주시,노형동,제주시 동지역,간식,도너츠,2.42,10.57,0.02,0.67,0.22,6.42,,,다나05a99b
202103,주식회사 파스쿠찌제주노형로터리점,제주시,노형동,제주시 동지역,음료,커피,2.09,9.81,0.03,1.25,0.21,6.56,,,다나05a99b
202103,(유)아웃백스테이크하우스코리아제주점,제주시,노형동,제주시 동지역,양식,패밀리 레스토랑,15.53,8.82,0.43,1.59,1.73,6.36,,,다나05a99b
202103,뚜레쥬르 노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,2.18,8.67,0.05,0.79,0.23,5.5,,,다나05a99b
202103,더치앤빈 노형점,제주시,노형동,제주시 동지역,음료,커피,1.04,8.22,0.02,0.94,0.11,5.4,,,다나05a99b
202103,타이거커피 제주점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.75,7.84,0.01,0.85,0.08,5.1,,,다나05a99b
202103,루스트플레이스아이파크점,제주시,노형동,제주시 동지역,양식,양식,4.79,6.6,0.05,0.54,0.45,4.13,,,다나05a99b
202103,파리바게뜨노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,1.23,5.68,0.05,1.77,0.15,4.81,,,다나05a99b
202103,제주포레스트주식회사 포메인제주노형점,제주시,노형동,제주시 동지역,아시아음식,동남아/인도음식,2.97,4.16,0.07,0.63,0.31,2.88,,,다나05a99b
202103,더벤티제주노형점,제주시,노형동,제주시 동지역,음료,커피,0.36,4.06,0.01,0.56,0.04,2.76,,,다나05a99b
202103,메종드쁘띠푸르3호점,제주시,노형동,제주시 동지역,간식,베이커리,1.27,4,0.05,0.72,0.15,2.88,,,다나05a99b
202103,수영,제주시,노형동,제주시 동지역,한식,가정식,1.42,3.84,0.06,1.25,0.18,3.3,,,다나05a99b
202103,삼성웰스토리(주)제주드림타워,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.57,3.78,0,0.07,0.05,2.14,,,다나05a99b
202103,딤섬9898,제주시,노형동,제주시 동지역,아시아음식,중식,2.49,3.27,0.08,0.7,0.29,2.47,,,다나05a99b
202103,이졸라베르데,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.65,3.21,0.04,0.4,0.26,2.14,,,다나05a99b
202103,인쌩맥주제주노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.47,2.98,0.02,0.16,0.23,1.79,,,다나05a99b
202103,서가앤쿡 노형점,제주시,노형동,제주시 동지역,양식,패밀리 레스토랑,2.71,2.67,0.03,0.2,0.25,1.65,,,다나05a99b
202103,스무디킹 이마트신제주점,제주시,노형동,제주시 동지역,음료,주스,0.36,2.51,0.01,0.67,0.04,2.01,,,다나05a99b
202103,섬타르,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.14,2.44,0.11,1.84,0.21,3.11,,,다나05a99b
202103,족발야시장 노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.62,2.38,0.03,0.22,0.25,1.51,,,다나05a99b
202103,다미야,제주시,노형동,제주시 동지역,주점 및 주류판매,맥주/요리주점,2.39,2.35,0.06,0.42,0.26,1.68,,,다나05a99b
202103,푸동,제주시,노형동,제주시 동지역,아시아음식,중식,0.79,2.32,0.05,0.69,0.11,1.93,,,다나05a99b
202103,땅스부대찌개노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.63,2.16,0,0.07,0.06,1.25,,,다나05a99b
202103,스시권,제주시,노형동,제주시 동지역,아시아음식,일식,1.99,2.03,0.15,0.85,0.31,1.93,,,다나05a99b
202103,미스터킴팝,제주시,노형동,제주시 동지역,한식,가정식,0.45,2.03,0.02,0.34,0.06,1.44,,,다나05a99b
202103,지코바치킨신제주점,제주시,노형동,제주시 동지역,패스트푸드,치킨,1.08,2,0.01,0.18,0.1,1.27,,,다나05a99b
202103,쑝쑝돈까스 제주노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.63,1.9,0.02,0.38,0.07,1.41,,,다나05a99b
202103,조박사버섯칼국수,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.71,1.68,0.04,0.29,0.18,1.2,,,다나05a99b
202103,두찜신제주점,제주시,노형동,제주시 동지역,한식,가정식,1.17,1.65,0.02,0.2,0.12,1.09,,,다나05a99b
202103,제주동백별장,제주시,노형동,제주시 동지역,아시아음식,일식,2.15,1.62,0.41,2.08,0.59,2.88,,,다나05a99b
202103,제주세호해장국노형직영점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.8,1.59,0.04,0.56,0.11,1.41,,,다나05a99b
202103,향계,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.2,1.56,0.02,0.09,0.21,0.94,,,다나05a99b
202103,민타이,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.69,1.46,0.04,0.43,0.09,1.22,,,다나05a99b
202103,바르메,제주시,노형동,제주시 동지역,한식,가정식,1.6,1.43,0.02,0.11,0.15,0.89,,,다나05a99b
202103,김밥명가노형점,제주시,노형동,제주시 동지역,간식,분식,0.24,1.37,0.01,0.18,0.03,0.92,,,다나05a99b
202103,해즈빈노형씨지브이점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.12,1.24,0,0.23,0.01,0.9,,,다나05a99b
202103,김복남맥주노형점,제주시,노형동,제주시 동지역,주점 및 주류판매,맥주/요리주점,0.98,1.17,0.03,0.18,0.11,0.82,,,다나05a99b
202103,우림일식,제주시,노형동,제주시 동지역,아시아음식,일식,1.94,1.11,0.07,0.14,0.24,0.75,,,다나05a99b
202103,라이프,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.48,1.05,0.06,0.38,0.18,0.94,,,다나05a99b
202103,채움국수,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.41,0.98,0.01,0.22,0.04,0.75,,,다나05a99b
202103,에그셀런트 제주노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.17,0.92,0.01,0.51,0.02,0.99,,,다나05a99b
202103,피자탑 신제주점,제주시,노형동,제주시 동지역,패스트푸드,피자,0.46,0.92,0.01,0.2,0.05,0.69,,,다나05a99b
202103,말렛(MALLET),제주시,노형동,제주시 동지역,양식,양식,1.48,0.89,0.09,0.27,0.21,0.75,,,다나05a99b
202103,허니비어노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.15,0.89,0,0.22,0.02,0.69,,,다나05a99b
202103,원우정,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.63,0.89,0.03,0.09,0.16,0.57,,,다나05a99b
202103,애월연어노형점,제주시,노형동,제주시 동지역,한식,가정식,0.63,0.86,0.04,0.29,0.09,0.75,,,다나05a99b
202103,진지상,제주시,노형동,제주시 동지역,한식,가정식,0.49,0.82,0.01,0.09,0.05,0.54,,,다나05a99b
202103,봉크랑,제주시,노형동,제주시 동지역,한식,가정식,0.16,0.76,0.01,0.2,0.02,0.61,,,다나05a99b
202103,국수대표,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.24,0.76,0.01,0.18,0.03,0.59,,,다나05a99b
202103,고니노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.3,0.76,0.01,0.09,0.03,0.5,,,다나05a99b
202103,Baby Cafe 어놀,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.36,0.73,0,0.07,0.03,0.47,,,다나05a99b
202103,미스앤미스터포테이토제주노형씨지브이점,제주시,노형동,제주시 동지역,간식,샌드위치/토스트,0.14,0.73,0,0.04,0.01,0.43,,,다나05a99b
202103,노형삼조삼계탕,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.45,0.7,0,0,0.04,0.38,,,다나05a99b
202103,노형집밥,제주시,노형동,제주시 동지역,한식,가정식,0.63,0.67,0,0.04,0.05,0.4,,,다나05a99b
202103,혜자,제주시,노형동,제주시 동지역,간식,분식,0.21,0.67,0,0.04,0.02,0.4,,,다나05a99b
202103,제주모다정해장국,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.22,0.6,0.08,1.03,0.1,1.32,,,다나05a99b
202103,숙성1퍼센트,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.19,0.6,0.08,0.33,0.18,0.64,,,다나05a99b
202103,금땡이양꼬치,제주시,노형동,제주시 동지역,아시아음식,중식,1.13,0.6,0.03,0.16,0.12,0.49,,,다나05a99b
202103,활주로,제주시,노형동,제주시 동지역,한식,가정식,0.34,0.51,0.01,0.13,0.04,0.4,,,다나05a99b
202103,제주댁,제주시,노형동,제주시 동지역,한식,가정식,0.35,0.51,0.01,0.07,0.04,0.35,,,다나05a99b
