ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202109,한국맥도날드(유)제주노형점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,41.56,101.74,0.67,10.97,2.86,37.8,37.8,1,다나05a99b
202109,버거킹제주이마트점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,11.42,25.92,0.19,2.79,0.79,9.63,1.27,66,다나05a99b
202109,투썸플레이스 제주노형오거리점,제주시,노형동,제주시 동지역,음료,커피,4.17,8.94,0.08,1,0.29,3.35,-0.13,15116,다나05a99b
202109,파리바게뜨노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,2.14,5.19,0.04,0.71,0.16,2.06,0.5,324,다나05a99b
202109,섬타르,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.08,1.47,0.1,0.71,0.15,1.02,0.19,1258,다나05a99b
202109,(유)아웃백스테이크하우스코리아제주점,제주시,노형동,제주시 동지역,양식,패밀리 레스토랑,28.97,8.45,0.38,0.68,1.91,2.94,1.63,43,다나05a99b
202109,제주동백별장,제주시,노형동,제주시 동지역,아시아음식,일식,1.84,0.75,0.23,0.54,0.33,0.68,-0.14,15238,다나05a99b
202109,에이바우트커피아이파크점,제주시,노형동,제주시 동지역,음료,커피,1.72,7.14,0.02,0.5,0.11,2.42,-0.33,16308,다나05a99b
202109,제주모다정해장국,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.25,0.29,0.06,0.5,0.07,0.51,-0.1,14562,다나05a99b
202109,주식회사 파스쿠찌제주노형로터리점,제주시,노형동,제주시 동지역,음료,커피,2.9,7.44,0.03,0.48,0.18,2.49,0.36,547,다나05a99b
202109,던킨도너츠신제주점,제주시,노형동,제주시 동지역,간식,도너츠,3.26,7.41,0.03,0.45,0.2,2.45,0.28,775,다나05a99b
202109,더치앤빈 노형점,제주시,노형동,제주시 동지역,음료,커피,1.68,6.23,0.02,0.41,0.11,2.09,0.29,774,다나05a99b
202109,딤섬9898,제주시,노형동,제주시 동지역,아시아음식,중식,3.71,2.7,0.09,0.41,0.29,1.11,0.28,777,다나05a99b
202109,스무디킹 이마트신제주점,제주시,노형동,제주시 동지역,음료,주스,0.68,2.19,0.02,0.38,0.05,0.94,0.03,5519,다나05a99b
202109,제주세호해장국노형직영점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.94,1.04,0.06,0.38,0.11,0.62,-0.05,13322,다나05a99b
202109,스시권,제주시,노형동,제주시 동지역,아시아음식,일식,3.51,1.63,0.18,0.37,0.36,0.78,-0.04,12350,다나05a99b
202109,더벤티제주노형점,제주시,노형동,제주시 동지역,음료,커피,1.01,5.14,0.01,0.34,0.06,1.72,0.4,485,다나05a99b
202109,제주포레스트주식회사 포메인제주노형점,제주시,노형동,제주시 동지역,아시아음식,동남아/인도음식,3.79,2.89,0.07,0.34,0.27,1.1,0.23,983,다나05a99b
202109,뚜레쥬르 노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,3.35,6.5,0.02,0.32,0.2,2.09,0.19,1318,다나05a99b
202109,타이거커피 제주점,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.1,5.11,0.01,0.32,0.07,1.7,-0.43,16460,다나05a99b
202109,메종드쁘띠푸르3호점,제주시,노형동,제주시 동지역,간식,베이커리,1.66,2.46,0.04,0.32,0.13,0.96,0,9769,다나05a99b
202109,주식회사위드제주(with jeju),제주시,노형동,제주시 동지역,한식,단품요리 전문,2.8,1.63,0.08,0.32,0.23,0.73,0.73,182,다나05a99b
202109,수영,제주시,노형동,제주시 동지역,한식,가정식,1.91,2.46,0.03,0.26,0.13,0.91,-0.04,12351,다나05a99b
202109,우마담풍하,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.98,0.29,0.21,0.22,0.31,0.27,0.1,2479,다나05a99b
202109,루스트플레이스아이파크점,제주시,노형동,제주시 동지역,양식,양식,6.38,4.39,0.06,0.21,0.39,1.4,0.2,1242,다나05a99b
202109,지코바치킨신제주점,제주시,노형동,제주시 동지역,패스트푸드,치킨,1.54,1.44,0.03,0.21,0.11,0.58,0.19,1307,다나05a99b
202109,푸동,제주시,노형동,제주시 동지역,아시아음식,중식,1.4,2.14,0.02,0.18,0.09,0.75,0.08,3096,다나05a99b
202109,스무디킹제주노형CGV점,제주시,노형동,제주시 동지역,음료,주스,0.35,1.31,0.01,0.17,0.03,0.51,0.06,3813,다나05a99b
202109,명가설렁탕,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.76,0.62,0.03,0.17,0.07,0.32,-0.1,14604,다나05a99b
202109,서가앤쿡 노형점,제주시,노형동,제주시 동지역,양식,패밀리 레스토랑,2.54,1.42,0.04,0.16,0.18,0.53,-0.04,12343,다나05a99b
202109,해즈빈노형씨지브이점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.28,1.23,0,0.16,0.02,0.48,0.26,856,다나05a99b
202109,일억조,제주시,노형동,제주시 동지역,한식,가정식,1.07,0.27,0.08,0.15,0.13,0.2,-0.22,15918,다나05a99b
202109,허니비어노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.32,1.15,0.01,0.14,0.02,0.44,-0.1,14753,다나05a99b
202109,에그셀런트 제주노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.23,0.62,0.01,0.14,0.02,0.29,-0.1,14750,다나05a99b
202109,인쌩맥주제주노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.65,0.99,0.04,0.13,0.12,0.39,0.09,2644,다나05a99b
202109,제주침시술소바,제주시,노형동,제주시 동지역,한식,가정식,0.3,0.42,0.02,0.13,0.03,0.23,0.23,991,다나05a99b
202109,미스터킴팝,제주시,노형동,제주시 동지역,한식,가정식,0.79,1.71,0.01,0.12,0.05,0.58,-0.09,14542,다나05a99b
202109,육수당 노형점,제주시,노형동,제주시 동지역,한식,가정식,0.73,1.18,0.02,0.12,0.06,0.43,0,9726,다나05a99b
202109,숙성1퍼센트,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.56,0.27,0.07,0.12,0.1,0.18,-0.04,12783,다나05a99b
202109,민타이,제주시,노형동,제주시 동지역,한식,단품요리 전문,1,1.28,0.02,0.11,0.07,0.45,0.07,3380,다나05a99b
202109,채움국수,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.75,0.88,0.01,0.11,0.05,0.34,0.03,4888,다나05a99b
202109,피자탑 신제주점,제주시,노형동,제주시 동지역,패스트푸드,피자,1.5,1.47,0.02,0.1,0.09,0.5,0.26,874,다나05a99b
202109,이졸라베르데,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.56,1.34,0.03,0.1,0.17,0.46,-0.03,11693,다나05a99b
202109,다미야,제주시,노형동,제주시 동지역,주점및주류판매,맥주/요리주점,2.23,1.12,0.02,0.1,0.14,0.39,0.05,4284,다나05a99b
202109,Baby Cafe 어놀,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.71,0.83,0.01,0.1,0.05,0.31,0.07,3379,다나05a99b
202109,본도시락 제주노형점,제주시,노형동,제주시 동지역,한식,도시락,1.25,0.75,0.04,0.1,0.1,0.29,0.01,7259,다나05a99b
202109,라이프,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.23,0.51,0.03,0.1,0.1,0.22,0.04,4573,다나05a99b
202109,봉크랑,제주시,노형동,제주시 동지역,한식,가정식,0.23,0.32,0.01,0.1,0.02,0.17,0.06,3535,다나05a99b
202109,막둥이횟집,제주시,노형동,제주시 동지역,아시아음식,일식,1.17,0.24,0.07,0.1,0.13,0.15,-0.04,12729,다나05a99b
202109,주식회사 소강,제주시,노형동,제주시 동지역,패스트푸드,햄버거,0.18,0.16,0.01,0.1,0.02,0.13,0.01,6365,다나05a99b
202109,애월연어 노형점,제주시,노형동,제주시 동지역,양식,양식,1.62,1.28,0.02,0.09,0.1,0.43,0.03,5506,다나05a99b
202109,국수대표,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.46,0.7,0.01,0.09,0.03,0.27,0.06,3508,다나05a99b
202109,더부즈 제주,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.63,0.24,0.07,0.09,0.21,0.14,-0.02,10959,다나05a99b
202109,땅스부대찌개노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.04,2.09,0.01,0.08,0.06,0.65,0.19,1297,다나05a99b
202109,삼성웰스토리(주)제주드림타워,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.71,1.87,0,0.07,0.04,0.58,0,9663,다나05a99b
