ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202104,한국맥도날드(유)제주노형점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,32.33,102.04,0.53,13.66,2.35,50.87,50.87,1,다나05a99b
202104,버거킹제주이마트점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,9.64,28.45,0.2,4.87,0.74,15.1,-8.83,16754,다나05a99b
202104,투썸플레이스 제주노형오거리점,제주시,노형동,제주시 동지역,음료,커피,3.73,11.1,0.07,1.61,0.28,5.64,-3.16,16628,다나05a99b
202104,에이바우트커피아이파크점,제주시,노형동,제주시 동지역,음료,커피,2.28,10.61,0.05,1.69,0.18,5.52,-1.98,16426,다나05a99b
202104,주식회사 파스쿠찌제주노형로터리점,제주시,노형동,제주시 동지역,음료,커피,3.06,9.82,0.04,0.82,0.21,4.47,-2.09,16455,다나05a99b
202104,던킨도너츠신제주점,제주시,노형동,제주시 동지역,간식,도너츠,3.31,9.21,0.03,0.65,0.22,4.09,-2.33,16514,다나05a99b
202104,더치앤빈 노형점,제주시,노형동,제주시 동지역,음료,커피,2.01,8.72,0.02,0.69,0.13,3.93,-1.47,16234,다나05a99b
202104,뚜레쥬르 노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,3.51,8.48,0.03,0.61,0.23,3.77,-1.73,16350,다나05a99b
202104,(유)아웃백스테이크하우스코리아제주점,제주시,노형동,제주시 동지역,양식,패밀리 레스토랑,20.35,7.5,0.3,0.85,1.45,3.61,-2.75,16582,다나05a99b
202104,타이거커피 제주점,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.17,7.44,0.02,0.84,0.08,3.57,-1.53,16264,다나05a99b
202104,파리바게뜨노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,1.78,5.15,0.05,1.16,0.15,2.98,-1.83,16384,다나05a99b
202104,루스트플레이스아이파크점,제주시,노형동,제주시 동지역,양식,양식,5.92,5.15,0.03,0.24,0.37,2.18,-1.95,16417,다나05a99b
202104,더벤티제주노형점,제주시,노형동,제주시 동지역,음료,커피,0.7,4.82,0.02,0.64,0.06,2.39,-0.37,13507,다나05a99b
202104,메종드쁘띠푸르3호점,제주시,노형동,제주시 동지역,간식,베이커리,2.3,4.18,0.04,0.49,0.17,2.02,-0.86,15576,다나05a99b
202104,수영,제주시,노형동,제주시 동지역,한식,가정식,1.98,3.32,0.05,0.88,0.16,2.03,-1.27,16082,다나05a99b
202104,삼성웰스토리(주)제주드림타워,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.71,3.05,0,0.04,0.04,1.2,-0.94,15707,다나05a99b
202104,제주포레스트주식회사 포메인제주노형점,제주시,노형동,제주시 동지역,아시아음식,동남아/인도음식,3.15,3.02,0.08,0.59,0.26,1.67,-1.21,16031,다나05a99b
202104,딤섬9898,제주시,노형동,제주시 동지역,아시아음식,중식,3.14,2.93,0.06,0.41,0.23,1.47,-1,15792,다나05a99b
202104,스무디킹 이마트신제주점,제주시,노형동,제주시 동지역,음료,주스,0.63,2.65,0.02,0.61,0.05,1.54,-0.47,14244,다나05a99b
202104,서가앤쿡 노형점,제주시,노형동,제주시 동지역,양식,패밀리 레스토랑,3.95,2.65,0.03,0.18,0.26,1.17,-0.48,14357,다나05a99b
202104,이졸라베르데,제주시,노형동,제주시 동지역,한식,단품요리 전문,3.39,2.56,0.05,0.22,0.24,1.17,-0.97,15745,다나05a99b
202104,푸동,제주시,노형동,제주시 동지역,아시아음식,중식,1.15,2.26,0.02,0.35,0.09,1.17,-0.76,15371,다나05a99b
202104,땅스부대찌개노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.96,2.26,0,0.04,0.06,0.9,-0.35,13354,다나05a99b
202104,스시권,제주시,노형동,제주시 동지역,아시아음식,일식,3.89,2.2,0.22,0.72,0.43,1.46,-0.47,14263,다나05a99b
202104,섬타르,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.18,1.83,0.12,1.23,0.18,1.76,-1.35,16153,다나05a99b
202104,다미야,제주시,노형동,제주시 동지역,주점 및 주류판매,맥주/요리주점,2.86,1.83,0.07,0.35,0.23,1,-0.68,15144,다나05a99b
202104,족발야시장 노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,3.07,1.83,0.02,0.13,0.2,0.82,-0.69,15188,다나05a99b
202104,미스터킴팝,제주시,노형동,제주시 동지역,한식,가정식,0.69,1.77,0.01,0.28,0.05,0.92,-0.52,14525,다나05a99b
202104,쑝쑝돈까스 제주노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.04,1.74,0.01,0.2,0.07,0.84,-0.57,14771,다나05a99b
202104,인쌩맥주제주노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.06,1.71,0.02,0.11,0.13,0.75,-1.04,15846,다나05a99b
202104,제주동백별장,제주시,노형동,제주시 동지역,아시아음식,일식,3.24,1.65,0.52,1.87,0.7,2.24,-0.64,15016,다나05a99b
202104,조박사버섯칼국수,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.51,1.65,0.03,0.18,0.17,0.78,-0.42,13920,다나05a99b
202104,김밥명가노형점,제주시,노형동,제주시 동지역,간식,분식,0.6,1.59,0.01,0.2,0.04,0.78,-0.14,10209,다나05a99b
202104,제주세호해장국노형직영점,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.17,1.55,0.06,0.59,0.13,1.11,-0.3,12799,다나05a99b
202104,지코바치킨신제주점,제주시,노형동,제주시 동지역,패스트푸드,치킨,1.2,1.49,0.02,0.2,0.09,0.75,-0.52,14549,다나05a99b
202104,향계,제주시,노형동,제주시 동지역,한식,단품요리 전문,3.02,1.46,0.04,0.19,0.21,0.72,-0.22,11671,다나05a99b
202104,민타이,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.95,1.34,0.01,0.13,0.07,0.63,-0.59,14854,다나05a99b
202104,말렛(MALLET),제주시,노형동,제주시 동지역,양식,양식,3.58,1.25,0.07,0.27,0.27,0.71,-0.04,7369,다나05a99b
202104,원우정,제주시,노형동,제주시 동지역,한식,단품요리 전문,4.14,1.25,0.02,0.05,0.26,0.53,-0.04,7044,다나05a99b
202104,우림일식,제주시,노형동,제주시 동지역,아시아음식,일식,4.34,1.16,0.1,0.15,0.34,0.57,-0.18,11106,다나05a99b
202104,두찜신제주점,제주시,노형동,제주시 동지역,한식,가정식,1.27,1.1,0.03,0.18,0.1,0.57,-0.52,14578,다나05a99b
202104,바르메,제주시,노형동,제주시 동지역,한식,가정식,1.64,1.07,0.01,0.04,0.1,0.44,-0.45,14158,다나05a99b
202104,허니비어노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.2,1.04,0,0.05,0.01,0.44,-0.25,12162,다나05a99b
202104,해즈빈노형씨지브이점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.15,0.98,0,0.19,0.01,0.54,-0.36,13455,다나05a99b
202104,금땡이양꼬치,제주시,노형동,제주시 동지역,아시아음식,중식,2.91,0.95,0.03,0.12,0.19,0.47,-0.02,6598,다나05a99b
202104,김복남맥주노형점,제주시,노형동,제주시 동지역,주점 및 주류판매,맥주/요리주점,1.09,0.95,0.02,0.05,0.08,0.41,-0.41,13879,다나05a99b
202104,에그셀런트 제주노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.28,0.88,0.01,0.26,0.03,0.56,-0.43,14027,다나05a99b
202104,Baby Cafe 어놀,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.46,0.88,0,0.05,0.03,0.39,-0.08,8453,다나05a99b
202104,채움국수,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.51,0.85,0.01,0.13,0.04,0.44,-0.31,12938,다나05a99b
202104,곤지암할매소머리국밥노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.69,0.79,0.02,0.24,0.06,0.51,0.15,568,다나05a99b
202104,국수대표,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.35,0.79,0.01,0.12,0.03,0.41,-0.18,11060,다나05a99b
202104,제주모다정해장국,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.66,0.76,0.07,0.74,0.1,0.93,-0.39,13730,다나05a99b
202104,라이프,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.41,0.73,0.05,0.22,0.13,0.47,-0.47,14271,다나05a99b
202104,피자탑 신제주점,제주시,노형동,제주시 동지역,패스트푸드,피자,0.69,0.7,0.02,0.22,0.06,0.46,-0.23,11848,다나05a99b
202104,노형삼조삼계탕,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.66,0.7,0,0,0.04,0.27,-0.11,9393,다나05a99b
202104,애월연어 노형점,제주시,노형동,제주시 동지역,양식,양식,0.76,0.67,0.02,0.16,0.07,0.4,0.4,160,다나05a99b
202104,더부즈 제주,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.61,0.64,0.2,0.26,0.34,0.47,-0.31,12974,다나05a99b
202104,노형집밥,제주시,노형동,제주시 동지역,한식,가정식,0.78,0.64,0,0.04,0.05,0.28,-0.12,9758,다나05a99b
202104,오리정,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.23,0.64,0,0.03,0.07,0.27,-0.02,6102,다나05a99b
202104,지중해참치,제주시,노형동,제주시 동지역,아시아음식,일식,2.35,0.61,0.01,0.03,0.15,0.26,-0.02,6518,다나05a99b
202104,숙성1퍼센트,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.09,0.58,0.12,0.31,0.24,0.49,-0.15,10539,다나05a99b
202104,혜자,제주시,노형동,제주시 동지역,간식,분식,0.32,0.58,0,0.03,0.02,0.25,-0.15,10481,다나05a99b
202104,우마담풍하,제주시,노형동,제주시 동지역,한식,단품요리 전문,3.56,0.55,0.13,0.22,0.33,0.4,0,3927,다나05a99b
202104,바른치킨 노형직영점,제주시,노형동,제주시 동지역,패스트푸드,치킨,0.43,0.52,0.01,0.11,0.04,0.29,0.01,2890,다나05a99b
202104,제주댁,제주시,노형동,제주시 동지역,한식,가정식,0.58,0.52,0,0.07,0.04,0.26,-0.09,8828,다나05a99b
202104,활주로,제주시,노형동,제주시 동지역,한식,가정식,0.47,0.49,0,0.03,0.03,0.21,-0.19,11278,다나05a99b
202104,부자국수,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.26,0.46,0.01,0.22,0.03,0.36,-0.28,12607,다나05a99b
202104,민스펍,제주시,노형동,제주시 동지역,한식,가정식,1.01,0.46,0.05,0.15,0.11,0.3,0.18,462,다나05a99b
202104,진지상,제주시,노형동,제주시 동지역,한식,가정식,0.44,0.46,0,0.05,0.03,0.22,-0.32,13081,다나05a99b
202104,봉크랑,제주시,노형동,제주시 동지역,한식,가정식,0.18,0.43,0.01,0.09,0.02,0.25,-0.36,13456,다나05a99b
202104,스무디킹제주노형CGV점,제주시,노형동,제주시 동지역,음료,주스,0.08,0.4,0,0.11,0.01,0.25,-0.08,8636,다나05a99b
202104,고니노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.25,0.4,0,0,0.01,0.15,-0.35,13321,다나05a99b
202104,미스앤미스터포테이토제주노형씨지브이점,제주시,노형동,제주시 동지역,간식,샌드위치/토스트,0.11,0.37,0,0.01,0.01,0.15,-0.28,12649,다나05a99b
202104,막둥이횟집,제주시,노형동,제주시 동지역,아시아음식,일식,1,0.3,0.14,0.28,0.2,0.36,-0.04,7337,다나05a99b
202104,호,제주시,노형동,제주시 동지역,양식,양식,1.31,0.3,0,0,0.07,0.12,0,2990,다나05a99b
202104,일억조,제주시,노형동,제주시 동지역,한식,가정식,0.64,0.27,0.08,0.2,0.11,0.28,-0.01,5638,다나05a99b
202104,불타는오징어,제주시,노형동,제주시 동지역,한식,가정식,0.61,0.27,0.01,0.04,0.04,0.14,0.07,1179,다나05a99b
202104,밥이보약,제주시,노형동,제주시 동지역,한식,가정식,0.18,0.24,0,0.05,0.01,0.14,-0.09,8863,다나05a99b
202104,노형근고기,제주시,노형동,제주시 동지역,한식,가정식,0.58,0.24,0.01,0.03,0.05,0.12,-0.04,7224,다나05a99b
202104,부자떡집,제주시,노형동,제주시 동지역,간식,베이커리,0.1,0.21,0,0.03,0.01,0.11,0.02,2162,다나05a99b
202104,스시궁,제주시,노형동,제주시 동지역,아시아음식,일식,0.95,0.18,0.02,0.03,0.07,0.09,-0.1,9260,다나05a99b
202104,엑스,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.16,0.18,0.04,0.01,0.16,0.08,-0.04,7145,다나05a99b
202104,마구이양구이,제주시,노형동,제주시 동지역,한식,가정식,0.47,0.15,0.03,0.09,0.05,0.14,-0.05,7422,다나05a99b
202104,주식회사 춘흥,제주시,노형동,제주시 동지역,한식,가정식,0.37,0.12,0.01,0.27,0.03,0.28,0.07,1129,다나05a99b
202104,다랑곶,제주시,노형동,제주시 동지역,한식,가정식,0.33,0.12,0,0.01,0.02,0.06,-0.01,5974,다나05a99b
202104,붐붐,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.96,0.12,0,0,0.05,0.05,0.03,1854,다나05a99b
202104,주식회사 소강,제주시,노형동,제주시 동지역,패스트푸드,햄버거,0.09,0.09,0,0,0.01,0.03,-0.26,12384,다나05a99b
