ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202305,둘리네국수,제주시,연동,제주시내,한식,면류,1.68,2.08,0.09,0.61,0.25,1.23,0.07,4985,다나06a99b
202305,참사랑전복해물탕,제주시,연동,제주시내,한식,해물탕,0.45,0.12,0.03,0.04,0.07,0.07,0,8975,다나06a99b
202305,이화닭발1979,제주시,연동,제주시내,한식,가정식,0.84,0.74,0.02,0.08,0.1,0.33,0.2,1973,다다06a00a
202305,조마루감자탕 연동점,제주시,연동,제주시내,고기,감자탕,1.53,1.4,0.1,0.56,0.24,0.95,0.32,1049,다다06a00a
202305,처갓집양념치킨호프연동점,제주시,연동,제주시내,패스트푸드,치킨,0.22,0.33,0,0.03,0.02,0.14,0.1,4087,다나06a99b
202305,물음표,제주시,연동,제주시내,한식,단품요리 전문,0.38,0.24,0.01,0.01,0.04,0.09,0.01,8267,다나06a99b
202305,영락마을회관국수연동본점,제주시,연동,제주시내,한식,면류,0.01,0.01,0,0,0,0,0,8976,다나06a99b
202305,경성숯불양꼬치,제주시,연동,제주시내,주점및주류판매,고기,0.76,0.3,0.02,0.04,0.09,0.14,0.05,6194,다다06a00a
202305,마메종,제주시,연동,제주시내,양식,양식,0.45,0.68,0.01,0.05,0.05,0.28,0.15,2814,다다06a00a
202305,커피베이 제주공항국내선1호점,제주시,용담2동,제주시내,음료,커피,0.68,3.39,0.39,6.54,0.45,6.5,0.62,381,다다06a02a
202305,띠아모제주공항3층,제주시,용담2동,제주시내,한식,아이스크림/빙수,0.51,1.52,0.01,0.25,0.06,0.74,-0.09,13467,다다06a02a
202305,노연동국밥2호점,제주시,연동,제주시내,한식,국밥,0.25,0.39,0,0.01,0.02,0.15,0.05,5941,다다06a00a
202305,오로섬,제주시,용담2동,제주시내,한식,단품요리 전문,0.27,0.12,0.07,0.17,0.09,0.18,0.04,6489,다다06b03a
202305,차돌집,제주시,연동,제주시내,한식,차돌,5.27,2.74,0.32,0.69,0.81,1.53,0.3,1143,다다06b00a
202305,신사본가송탄부대찌개,제주시,연동,제주시내,한식,단품요리 전문,0.63,0.8,0.01,0.1,0.07,0.37,0.29,1196,다다06b00a
202305,절친포차,제주시,연동,제주시내,한식,단품요리 전문,0.17,0.12,0.01,0.03,0.03,0.06,-0.01,9883,다다06b00a
202305,우도스토리,제주시,연동,제주시내,한식,가정식,0.2,0.15,0,0.01,0.02,0.06,-0.04,11898,다나06b99b
202305,숙희네 흑돼지,제주시,연동,제주시내,한식,돼지고기,0.72,0.24,0.05,0.12,0.12,0.18,-0.01,9823,다다06b00a
202305,낙지친구,제주시,연동,제주시내,한식,낙지,0.9,1.04,0.04,0.21,0.13,0.54,0.13,3154,다다06b00a
202305,신대로12길,제주시,연동,제주시내,한식,단품요리 전문,0,0,0,0.01,0,0.01,0.16,2602,다다06b00a
202305,닭가대표 연동점,제주시,연동,제주시내,한식,치킨,0.04,0.06,0,0.04,0.01,0.05,-0.04,11995,다나06b99b
202305,소문난먹거리,제주시,연동,제주시내,한식,단품요리 전문,0.16,0.36,0,0.01,0.02,0.14,0.03,7214,다나06b99b
202305,토크쇼연동2호점,제주시,연동,제주시내,한식,단품요리 전문,0.61,0.42,0.01,0.04,0.07,0.18,-0.05,12293,다나06b99b
202305,페리카나신제주점,제주시,연동,제주시내,패스트푸드,치킨,0.25,0.39,0,0.01,0.03,0.15,-0.03,11332,다나06b99b
202305,올레풍경,제주시,연동,제주시내,한식,가정식,0.05,0.06,0,0,0.01,0.02,0,8977,다나06b99b
202305,정직한통닭코스모스점,제주시,연동,제주시내,패스트푸드,치킨,0.41,0.33,0.02,0.07,0.06,0.17,0.01,8908,다나06b99b
202305,틀안에,서귀포시,영천동,서귀포시내,카페,커피,0.01,0.03,0.02,0.36,0.02,0.31,0.39,795,다나14a73a
202305,카페비아,제주시,삼양동,제주시내,음료,커피,0,0.03,0,0,0,0.01,0.03,7215,다다14a04a
202305,뉴봄봄김밥,제주시,삼양동,제주시내,한식,커피,0.28,1.28,0,0.09,0.03,0.53,0.32,1077,다다14b03a
202305,카페 포레스타,서귀포시,송산동,서귀포시내,카페,커피,0.05,0.12,0.02,0.17,0.02,0.18,0.02,7642,다나14a73a
202305,토평원,서귀포시,영천동,서귀포시내,한식,단품요리 전문,0.25,0.15,0,0,0.02,0.05,0.03,7216,다나14a76a
202305,동막골삼화점,제주시,삼양동,제주시내,한식,가정식,1.4,1.87,0.05,0.27,0.18,0.88,0.13,3155,다다14b03b
202305,농부밥상,제주시,삼양동,제주시내,한식,가정식,0.37,0.48,0,0.01,0.04,0.18,-0.05,12294,다다14b03b
202305,서문떡볶이 삼화점,제주시,삼양동,제주시내,간식,분식,0.83,2.23,0,0.07,0.08,0.84,-0.12,13963,다다14b03a
202305,감수촌,제주시,삼양동,제주시내,한식,가정식,1.34,2.14,0.02,0.14,0.15,0.87,0.09,4460,다다15a03b
202305,메가커피 제주516도로점,서귀포시,영천동,서귀포시내,카페,커피,1.6,12.38,0.05,1.67,0.2,5.73,0.92,192,다나14b75b
202305,제주형제분식,제주시,삼양동,제주시내,간식,분식,0.57,1.52,0.01,0.18,0.06,0.68,-0.06,12934,다다15a03b
202305,삼양다쏘니,제주시,삼양동,제주시내,한식,가정식,0.41,0.33,0.01,0.03,0.05,0.14,-0.06,12898,다다15a03b
202305,7번가피자 제주삼화점,제주시,삼양동,제주시내,피자.치킨.햄버거,피자,0.79,0.95,0,0.01,0.08,0.35,-0.03,11294,다다15a03b
202305,손이가 꽈배기앤 치킨,제주시,삼양동,제주시내,패스트푸드,치킨,0.03,0.06,0,0,0,0.02,0.02,8017,다다15a03b
202305,썬더치킨 삼화마트점,제주시,삼양동,제주시내,패스트푸드,치킨,0.08,0.21,0,0,0.01,0.08,0.42,710,다다15a03a
202305,안평,제주시,삼양동,제주시내,한식,가정식,0.44,0.51,0.01,0.1,0.05,0.26,0.02,7643,다다15a04a
202305,오만과자점,제주시,삼양동,제주시내,간식,베이커리,0.38,0.68,0.01,0.08,0.05,0.31,-0.06,12662,다다15a04a
202305,약촌삼계탕,서귀포시,영천동,서귀포시내,한식,삼계탕,3.12,2.59,0.05,0.21,0.35,1.08,-0.18,14540,다나15a75b
202305,육장갈비 삼화점,제주시,삼양동,제주시내,한식,갈비,0.52,0.24,0,0,0.05,0.08,0.03,7217,다다15a03a
202305,에스케이엘이씨(주)무송,서귀포시,영천동,서귀포시내,한식,가정식,0,0.03,0.54,1.58,0.52,1.29,-0.94,15142,다나15a77b
202305,오가네전복설렁탕,서귀포시,영천동,서귀포시내,한식,국밥,0.78,0.89,0.43,1.35,0.49,1.41,0.39,774,다나15a75b
202305,귤한편,서귀포시,영천동,서귀포시내,한식,단품요리 전문,0.23,0.65,0.02,0.16,0.04,0.36,-0.01,10381,다나15a77b
202305,어부지리,제주시,삼양동,제주시내,한식,가정식,0.73,0.65,0.01,0.04,0.08,0.26,0.09,4461,다다15b04b
202305,하를,서귀포시,영천동,서귀포시내,한식,단품요리 전문,0.03,0.09,0,0.03,0,0.05,-0.01,10341,다나16a75a
202305,보목자리돔축제위원회,서귀포시,송산동,서귀포시내,한식,가정식,1.77,2.26,0.08,0.51,0.24,1.21,-1.21,15163,다나16a72b
202305,월라봉김밥,서귀포시,효돈동,서귀포시내,간식,분식,0.13,0.63,0.01,0.1,0.02,0.3,-0.06,12663,다나17a75a
202305,성광식당,서귀포시,효돈동,서귀포시내,한식,가정식,0.37,0.8,0,0.04,0.04,0.32,0.27,1362,다나17a74b
202305,유니김밥,서귀포시,효돈동,서귀포시내,간식,분식,0.09,0.36,0,0.1,0.01,0.21,-0.14,14205,다나17b75a
202305,(주)파리크라상파리바게뜨 제주공항점,제주시,용담2동,제주시내,간식,베이커리,6.8,22.02,8.98,44.16,9.39,43.57,3.11,14,다다06a02a
202305,엔제리너스 제주공항야외광장점,제주시,용담2동,제주시내,음료,커피,0.69,2.8,0.1,1.43,0.17,2.15,0.33,1001,다다06a02a
202305,마마손칼국수,제주시,연동,제주시내,한식,면류,0.36,0.64,0.01,0.05,0.04,0.27,-0.27,14811,다다06a00a
202305,정든식당,제주시,연동,제주시내,한식,가정식,0.48,0.77,0,0,0.05,0.27,0.04,6853,다다06a00a
202305,민속찻집석화,제주시,연동,제주시내,카페,커피,0.03,0.06,0,0,0,0.02,0.02,8018,다다06a00a
202305,투다리남서울점,제주시,연동,제주시내,주점및주류판매,꼬치구이,0.46,0.39,0.03,0.12,0.07,0.23,0.11,3669,다다06b00a
202305,컴포즈커피제주연동센트럴점,제주시,연동,제주시내,음료,커피,0.23,2.27,0.01,0.53,0.03,1.23,-1.01,15150,다나06b99b
202305,국민닭발,제주시,연동,제주시내,한식,치킨,0.1,0.12,0.01,0.08,0.02,0.11,0.09,4317,다다06b00a
202305,연동탑부평,제주시,연동,제주시내,한식,단품요리 전문,1.21,0.59,0.09,0.13,0.2,0.32,0.02,7644,다나06b99b
202305,24시누름돌김치찌개,제주시,연동,제주시내,한식,김치찌개,3.54,7.35,0.11,1.04,0.44,3.44,0.42,711,다나06b99b
202305,심야식당낭만혼술,제주시,연동,제주시내,한식,단품요리 전문,0.37,0.42,0.04,0.18,0.08,0.29,0.16,2547,다나06b99b
202305,민들레소반,제주시,연동,제주시내,한식,가정식,0.15,0.42,0.01,0.18,0.03,0.29,-0.04,11829,다다06b00b
202305,남순이네국수,제주시,용담2동,제주시내,한식,면류,0.12,0.18,0.1,0.52,0.11,0.48,-0.07,13057,다다06b03b
202305,파도국수,제주시,연동,제주시내,한식,면류,1.17,1.76,0.07,0.45,0.18,0.99,-0.3,14876,다나06b99b
202305,포동정식 도청점,제주시,연동,제주시내,한식,가정식,1.62,2.44,0.03,0.19,0.18,1.02,0.18,2327,다다06b00a
202305,커피순,제주시,연동,제주시내,한식,커피,0.25,0.71,0.03,0.31,0.05,0.51,0.19,2156,다다06b00a
202305,보물섬아이스크림 할인점,제주시,연동,제주시내,간식,아이스크림/빙수,0.36,2.68,0,0.09,0.04,1.02,-0.31,14894,다나06b99b
202305,재현이네갈비,제주시,연동,제주시내,한식,갈비,2.98,1.43,0.05,0.08,0.33,0.57,0.09,4229,다나06b99b
202305,풍향가든,서귀포시,대천동,서귀포시내,한식,고기,0.32,0.36,0.08,0.26,0.11,0.34,0.15,2815,다나06b72a
202305,국밥먹고가자,제주시,연동,제주시내,한식,국밥,0.62,1.19,0,0.07,0.06,0.47,-0.13,14082,다나06b99b
202305,라멘맛심,제주시,연동,제주시내,아시아음식,일식,0.09,0.33,0.01,0.08,0.02,0.18,-0.02,10685,다다06b00a
202305,으뜸아이스크림할인점(신제주점),제주시,연동,제주시내,간식,아이스크림/빙수,0.22,1.46,0.01,0.16,0.03,0.64,-0.17,14492,다나06b99a
202305,동네술집,제주시,연동,제주시내,한식,가정식,0.03,0.02,0,0,0,0.01,-0.01,10081,다나06b99b
202305,모네의화원,제주시,연동,제주시내,카페,커피,0.25,0.36,0.01,0.08,0.03,0.19,0.04,6490,다나06b99a
202305,에이바우트커피뷰강정점,서귀포시,대천동,서귀포시내,음료,커피,0.91,4.52,0.1,1.97,0.18,3.2,0.67,339,다나06b72a
202305,숲속의컨벤션,서귀포시,대천동,서귀포시내,한식,가정식,0.03,0.06,0.01,0.04,0.01,0.05,0.01,8813,다나06b73b
202305,제주삼다도횟집1호점,제주시,용담2동,제주시내,한식,회,1.72,0.3,0.07,0.1,0.24,0.19,0.06,5555,다다07a03a
202305,듀포레,제주시,용담2동,제주시내,한식,단품요리 전문,1.74,3.3,0.8,6.26,0.95,6.24,0.06,5867,다다07a03a
