CMPNM_NM,ADSTRD_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE
백일동파스타,이도2동,고기,스테이크,0.30000000000000004,0.21000000000000002,0.005,0.02,0.030000000000000002,0.10500000000000001
와시냐,노형동,한식,가정식,0.6599999999999999,0.4822222222222222,0.003333333333333333,0.015555555555555557,0.08222222222222222,0.18333333333333335
제주청정원한우마당,연동,한식,단품요리 전문,0.81,0.19125,0.0225,0.04,0.07125,0.10375000000000001
국밥어머니솜씨,노형동,한식,국밥,0.2753846153846154,0.41923076923076924,0.003076923076923077,0.03692307692307692,0.026538461538461542,0.18153846153846154
돼지몰이촌,일도1동,고기,돼지고기,0.565,0.28500000000000003,0.01,0.03,0.07500000000000001,0.14500000000000002
통큰맛집,정방동,한식,가정식,0.6232352941176471,0.4073529411764706,0.02088235294117647,0.06764705882352942,0.0738235294117647,0.19970588235294118
(유)다올,예래동,한식,가정식,0.2225925925925926,0.3566666666666667,0.02,0.21703703703703706,0.03481481481481481,0.32074074074074077
고향숯불막창구이일도점,일도2동,한식,막창,1.4300000000000002,0.671578947368421,0.008947368421052633,0.023157894736842106,0.10631578947368421,0.2531578947368421
소랑벨일공일(101),남원읍,한식,가정식,0.2645454545454546,0.2727272727272727,0.04727272727272727,0.21363636363636365,0.07272727272727274,0.27545454545454545
장민김밥,노형동,간식,분식,0.18333333333333335,0.5533333333333333,0.006666666666666667,0.16166666666666665,0.018333333333333333,0.35833333333333334
장군오리,이도2동,한식,오리,0.7491666666666666,0.29625,0.04,0.08208333333333333,0.1025,0.17333333333333334
항아리숯불바비큐,용담2동,한식,고기,0.47125,0.35625,0.012499999999999999,0.04041666666666667,0.048749999999999995,0.15333333333333335
카페비아라테,안덕면,음료,커피,0.325,0.6684375,0.0278125,0.3071875,0.0496875,0.4971875
가자고산,한경면,중식,중식,0.09,0.19,0.0,0.0,0.01,0.08
터미널부대찌개,오라동,한식,단품요리 전문,0.275,0.43625,0.01125,0.0575,0.04375,0.195
치킨플러스 제주화북점,화북동,패스트푸드,치킨,0.4390909090909091,0.4727272727272727,0.008181818181818182,0.015454545454545455,0.051818181818181826,0.18272727272727274
제주닭한마리,연동,한식,가정식,0.66,0.4925,0.036250000000000004,0.18625,0.07375,0.33875
도남돼지,이도2동,한식,가정식,0.8049999999999999,0.38,0.015,0.04625,0.065,0.1625
감미롭다 제주,대륜동,한식,가정식,0.2427272727272727,0.30454545454545456,0.03363636363636364,0.16363636363636364,0.057272727272727274,0.25727272727272726
오늘도치킨과맥주가좋다,한림읍,패스트푸드,치킨,0.19064516129032258,0.15677419354838712,0.02032258064516129,0.07967741935483871,0.03612903225806452,0.12387096774193548
오에이치디(ohd),구좌읍,한식,단품요리 전문,0.20869565217391303,0.6152173913043478,0.01608695652173913,0.23086956521739133,0.03304347826086956,0.4039130434782609
버거오클락,대정읍,양식,햄버거,0.6126086956521739,0.75,0.0591304347826087,0.36,0.10130434782608697,0.5621739130434783
상객해물포차,이도2동,한식,단품요리 전문,2.063333333333333,0.9408333333333333,0.024583333333333332,0.05333333333333334,0.2070833333333333,0.3741666666666667
동홍돈,동홍동,한식,가정식,0.4725,0.28625,0.005,0.0175,0.03375,0.12375
외도 골목식당,외도동,한식,단품요리 전문,0.2383333333333333,0.2725,0.0008333333333333334,0.01,0.018333333333333333,0.10333333333333333
와르다레스토랑,삼도2동,한식,단품요리 전문,0.40970588235294114,0.5608823529411765,0.02911764705882353,0.1720588235294118,0.06029411764705883,0.33794117647058824
옛날통닭 하귀점,애월읍,패스트푸드,치킨,0.2876190476190476,0.6214285714285714,0.005714285714285714,0.08285714285714285,0.024285714285714285,0.27
사계치킨,안덕면,패스트푸드,치킨,0.1875,0.23125,0.01625,0.165,0.0275,0.23
커피블라썸,이도2동,카페,커피,0.375,0.9749999999999999,0.005,0.05,0.04,0.445
스페샬삼무점,연동,한식,단품요리 전문,0.27,0.24060606060606063,0.0018181818181818182,0.010909090909090908,0.023333333333333334,0.09515151515151515
O3커피,삼도1동,카페,커피,0.1,0.31,0.015,0.18,0.025,0.28
봉구스밥버거서귀포점,천지동,패스트푸드,햄버거,0.2190625,0.8365625,0.0025,0.0878125,0.0209375,0.3625
위드비키(WITHVICKY),외도동,음료,커피,0.06,0.19,0.02,0.17,0.03,0.22
코다리냉면,일도1동,한식,단품요리 전문,0.54125,0.455,0.0025,0.025,0.0475,0.175
명인장원삼계탕,조천읍,한식,삼계탕,0.14541666666666667,0.16458333333333333,0.0020833333333333333,0.012499999999999999,0.014166666666666668,0.06333333333333334
이서방양념치킨,애월읍,피자.치킨.햄버거,치킨,0.4507692307692308,0.6523076923076924,0.02846153846153846,0.16923076923076924,0.07615384615384616,0.38769230769230767
피자알볼로제주외도점,외도동,패스트푸드,피자,0.6784848484848485,0.8433333333333333,0.011515151515151515,0.08757575757575758,0.06121212121212121,0.3618181818181818
일공일,연동,일식.회,일식,1.5899999999999999,0.48,0.015,0.005,0.18,0.20500000000000002
막쇠,동홍동,한식,가정식,0.3875,0.2925,0.0075,0.0375,0.03375,0.145
어우늘,오라동,한식,가정식,1.1479411764705882,0.49617647058823533,0.19705882352941176,0.38294117647058823,0.2779411764705882,0.5044117647058823
