병원명,구분,토요일,일요일,공휴일,주소,위도,경도,주소2
한마음병원, 종합병원,1,0,0,제주특별자치도 제주시 연신로 52-  ,33.4962868079834,126.546238571767,이도이동
고영관신경외과의원, 의원,1,0,0,제주특별자치도 제주시 연삼로 342,33.4919650047206,126.529078288259,도남동
해맑은비뇨의학과의원, 의원,1,0,0,제주특별자치도 제주시 월랑로 1,33.4863844954209,126.478567739143,노형동
제주한라병원, 종합병원,1,0,0,제주특별자치도 제주시 도령로 65-  ,33.4902661749243,126.484919722369,연동
하나신통의원, 의원,1,0,0,제주특별자치도 서귀포시 대정읍 신영로 112-1,33.2216470276013,126.254393389872,대정읍 하모리
아산 본 정형외과 의원, 의원,1,0,0,제주특별자치도 서귀포시 대정읍 중산간서로 2274,33.2807928230905,126.285370709694,대정읍 구억리
더이음정신건강의학과의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 299,33.4944036527446,126.534643601759,이도이동
서귀포열린병원, 병원,1,1,1,제주특별자치도 서귀포시 일주동로 8638 ,33.2544659162544,126.565425372675,동홍동
정안과의원, 의원,1,1,1,제주특별자치도 서귀포시 중정로 54-1 ,33.247510255393,126.562227565513,서귀동
양재식내과의원, 의원,1,0,1,제주특별자치도 서귀포시 동문로 2,33.2523192582574,126.561504673145,서귀동
생생가정의학과의원, 의원,1,0,0,제주특별자치도 서귀포시 안덕면 화순로 132,33.2465493071016,126.332309568164,안덕면 화순리
함덕튼튼의원, 의원,1,0,0,제주특별자치도 제주시 조천읍 신북로 523,33.5420394042026,126.665971016422,조천읍 함덕리
유소아과의원, 의원,1,1,1,제주특별자치도 서귀포시 중앙로 93 ,33.2528292134515,126.56037911371,서귀동
고려삼성의원, 의원,1,0,0,제주특별자치도 서귀포시 중앙로 44 ,33.2485506417873,126.561893270912,서귀동
베스트비뇨기과의원, 의원,1,0,0,제주특별자치도 서귀포시 동문로 5,33.2523432454262,126.562068685543,서귀동
현대산부인과의원, 의원,1,0,1,제주특별자치도 서귀포시 동문로 61 ,33.2493886141324,126.567067621968,서귀동
윤성현내과의원, 의원,1,0,1,제주특별자치도 서귀포시 중정로 38  ,33.2473594620155,126.560375596439,서귀동
대림외과의원, 의원,1,0,1,제주특별자치도 서귀포시 중앙로 25-3 ,33.2470898329365,126.561538729427,서귀동
시원한이비인후과의원, 의원,1,0,1,제주특별자치도 서귀포시 중정로 65-1  ,33.2483294168783,126.563184941217,서귀동
조대경안심내과의원, 의원,1,0,0,제주특별자치도 제주시 노형8길 2 ,33.4843262448719,126.477346169156,노형동
제주삼성안과의원, 의원,0,0,0,제주특별자치도 제주시 관덕로 66 ,33.5128681419798,126.526286786596,일도일동
제주늘푸른의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 132,33.5068454153752,126.524707080033,삼도이동
박재홍내과의원, 의원,1,0,0,제주특별자치도 제주시 고마로 149,33.5015046264362,126.543570318192,일도이동
