약국명,위도,경도,주소,주소2
신행복약국,33.4843262448719,126.477346169156,제주특별자치도 제주시 노형8길 2 ,노형동
보람약국,33.509500248517,126.53970403748,제주특별자치도 제주시 고마로 53 ,일도이동
정성약국,33.5128681419798,126.526286786596,제주특별자치도 제주시 관덕로 66 ,일도일동
외도약국,33.4866169440338,126.430634004825,"제주특별자치도 제주시 우정로 70, 1층 ",외도일동
봄날온누리약국,33.532867261547,126.619214304059,"제주특별자치도 제주시 조천읍 신북로 46, 1층",조천읍 신촌리
한일온누리약국,33.5005900226372,126.517136710182,"제주특별자치도 제주시 평전1길 20, 1층 ",삼도일동
새중앙약국,33.5126642987908,126.52480539172,"제주특별자치도 제주시 중앙로 61, 1층 ",이도일동
더조은약국,33.4793623460299,126.493480157363,"제주특별자치도 제주시 과원로 110, 1층 104호 ",연동
스카이약국,33.4830018418011,126.480399348849,"제주특별자치도 제주시 1100로 3323, 1층 ",노형동
사랑약국,33.4947573297223,126.532961293435,제주특별자치도 제주시 중앙로 286 ,이도이동
영주약국,33.4969993645896,126.546270581436,제주특별자치도 제주시  연신로  46 ,이도이동
올리브약국,33.5080772083926,126.540781688451,제주특별자치도 제주시 동광로 133 ,일도이동
인화온누리약국,33.5061298401656,126.539246511365,제주특별자치도 제주시 동광로 110 ,일도이동
동백약국,33.4867393589107,126.414969308735,"제주특별자치도 제주시 애월읍 하귀9길 1, 1층 103호",애월읍 하귀1리
가까운약국,33.4842475132455,126.481741909052,"제주특별자치도 제주시 원노형남1길 11, 1층 106호 ",노형동
봄여울약국,33.4956872529164,126.54722579155,"제주특별자치도 제주시 신설로7길 57, 제이힐링센터 지하 1층 ",이도이동
우리들약국,33.4879769858243,126.430731090549,제주특별자치도 제주시 우정로 56 ,외도일동
혜명한약국,33.4992156607582,126.513157026035,"제주특별자치도 제주시 서광로2길 11-1, 1층 ",오라일동
조은약국,33.5136308871107,126.53663219695,제주특별자치도 제주시 동문로20길 1 ,일도이동
신통약국,33.2805173683295,126.285321322368,"제주특별자치도 서귀포시 대정읍 중산간서로 2276, B동 101호",대정읍 구억리
김약국,33.247510255393,126.562227565513,제주특별자치도 서귀포시 중정로 54-1 ,서귀동
