id,date,point,point_name,temperature,humidity,rain,wind,sun,snow,ground,year,month
0,2015-01-01,184,제주,7.4,66,82.4,3.9,94.2,1.8,6.2,2015,1
1,2015-02-01,184,제주,7.3,64,35.5,3.7,93.5,0.5,7.5,2015,2
2,2015-03-01,184,제주,10.4,64,80.7,2.9,183.8,0.0,12.4,2015,3
3,2015-04-01,184,제주,15.1,71,147.9,2.9,163.4,0.0,17.1,2015,4
4,2015-05-01,184,제주,18.8,68,150.0,2.6,239.7,0.0,23.4,2015,5
5,2015-06-01,184,제주,22.0,80,186.4,2.3,129.7,0.0,24.8,2015,6
6,2015-07-01,184,제주,25.6,81,329.7,3.1,196.1,0.0,29.6,2015,7
7,2015-08-01,184,제주,26.4,78,248.6,2.5,193.6,0.0,30.0,2015,8
8,2015-09-01,184,제주,23.2,73,172.9,2.7,199.2,0.0,25.9,2015,9
9,2015-10-01,184,제주,19.2,64,31.0,3.1,223.0,0.0,21.5,2015,10
10,2015-11-01,184,제주,15.2,76,173.2,3.0,58.5,0.0,14.8,2015,11
11,2015-12-01,184,제주,10.0,66,90.0,3.6,51.9,0.0,8.9,2015,12
12,2016-01-01,184,제주,6.1,66,125.6,4.3,31.4,12.0,5.8,2016,1
13,2016-02-01,184,제주,7.3,60,40.0,4.3,110.4,0.0,7.3,2016,2
14,2016-03-01,184,제주,10.8,63,96.9,3.0,190.4,0.0,13.1,2016,3
15,2016-04-01,184,제주,15.6,74,121.4,2.9,170.8,0.0,17.9,2016,4
16,2016-05-01,184,제주,18.9,71,113.0,2.7,207.9,0.0,21.6,2016,5
17,2016-06-01,184,제주,22.2,83,162.7,2.4,110.1,0.0,24.4,2016,6
18,2016-07-01,184,제주,27.4,80,98.6,2.7,225.2,0.0,30.0,2016,7
19,2016-08-01,184,제주,28.5,74,75.6,3.1,258.1,0.0,32.7,2016,8
20,2016-09-01,184,제주,23.9,80,172.3,2.6,115.0,0.0,25.2,2016,9
21,2016-10-01,184,제주,20.1,76,282.4,2.9,80.1,0.0,20.3,2016,10
22,2016-11-01,184,제주,13.7,69,71.3,3.2,114.3,0.0,13.3,2016,11
23,2016-12-01,184,제주,9.5,67,56.6,3.5,104.7,0.0,9.0,2016,12
24,2017-01-01,184,제주,6.6,66,50.7,3.7,81.8,0.0,6.5,2017,1
25,2017-02-01,184,제주,6.8,61,39.1,3.9,145.9,2.8,6.7,2017,2
26,2017-03-01,184,제주,9.8,60,48.2,3.3,167.8,0.0,11.3,2017,3
27,2017-04-01,184,제주,15.7,64,51.4,3.1,208.8,0.0,17.9,2017,4
28,2017-05-01,184,제주,19.5,64,38.5,2.6,256.4,0.0,24.0,2017,5
29,2017-06-01,184,제주,22.0,77,60.7,2.5,177.6,0.0,26.4,2017,6
30,2017-07-01,184,제주,29.2,76,35.2,2.7,208.8,0.0,32.4,2017,7
31,2017-08-01,184,제주,28.7,74,159.5,2.8,237.3,0.0,31.3,2017,8
32,2017-09-01,184,제주,24.0,71,83.4,2.9,140.9,0.0,26.0,2017,9
33,2017-10-01,184,제주,19.3,72,162.0,3.2,132.9,0.0,19.6,2017,10
34,2017-11-01,184,제주,12.6,64,19.2,3.0,146.0,0.0,12.8,2017,11
35,2017-12-01,184,제주,7.2,61,25.4,3.9,77.1,0.0,6.3,2017,12
36,2018-01-01,184,제주,4.9,67,58.0,3.8,73.8,7.0,5.0,2018,1
37,2018-02-01,184,제주,5.5,60,86.6,3.7,122.2,14.4,5.9,2018,2
38,2018-03-01,184,제주,11.4,72,118.0,3.0,190.9,0.0,13.2,2018,3
39,2018-04-01,184,제주,15.9,68,112.5,2.9,205.6,0.0,19.0,2018,4
40,2018-05-01,184,제주,19.1,76,98.8,2.9,159.9,0.0,22.1,2018,5
41,2018-06-01,184,제주,22.3,79,211.1,2.7,187.0,0.0,26.1,2018,6
42,2018-07-01,184,제주,27.3,81,48.7,2.7,233.7,0.0,31.7,2018,7
43,2018-08-01,184,제주,28.8,78,376.5,3.3,245.7,0.0,32.3,2018,8
44,2018-09-01,184,제주,23.9,75,187.7,2.8,122.8,0.0,25.0,2018,9
45,2018-10-01,184,제주,17.9,64,347.0,3.2,174.8,0.0,18.6,2018,10
46,2018-11-01,184,제주,13.9,65,28.6,2.6,161.4,0.0,13.0,2018,11
47,2018-12-01,184,제주,8.7,68,96.0,3.6,61.9,0.0,8.1,2018,12
48,2019-01-01,184,제주,6.4,64,24.2,3.3,97.5,0.0,6.5,2019,1
49,2019-02-01,184,제주,7.4,63,37.9,3.0,110.9,0.0,7.8,2019,2
50,2019-03-01,184,제주,10.8,63,55.5,3.5,187.6,0.0,13.0,2019,3
51,2019-04-01,184,제주,14.7,68,46.4,3.0,196.1,0.0,18.1,2019,4
52,2019-05-01,184,제주,20.0,56,42.8,3.0,262.3,0.0,23.8,2019,5
53,2019-06-01,184,제주,21.5,80,145.8,2.6,194.3,0.0,25.1,2019,6
54,2019-07-01,184,제주,25.2,85,510.1,2.6,175.1,0.0,27.3,2019,7
55,2019-08-01,184,제주,27.7,77,242.3,2.8,176.5,0.0,30.1,2019,8
56,2019-09-01,184,제주,24.0,84,610.6,2.9,120.9,0.0,25.2,2019,9
57,2019-10-01,184,제주,19.7,69,188.6,2.9,160.7,0.0,20.2,2019,10
58,2019-11-01,184,제주,14.6,65,27.5,3.0,146.9,0.0,14.7,2019,11
59,2019-12-01,184,제주,9.7,64,48.2,3.3,81.1,0.0,8.8,2019,12
60,2020-01-01,184,제주,8.9,66,116.7,3.5,47.5,0.0,8.1,2020,1
61,2020-02-01,184,제주,9.1,66,29.8,3.3,115.7,0.0,8.9,2020,2
62,2020-03-01,184,제주,11.5,63,81.6,3.2,196.3,0.0,12.7,2020,3
63,2020-04-01,184,제주,13.2,56,82.3,3.3,261.7,0.0,15.9,2020,4
64,2020-05-01,184,제주,18.8,74,20.6,2.9,210.0,0.0,21.5,2020,5
65,2020-06-01,184,제주,22.4,83,221.5,2.7,164.4,0.0,24.4,2020,6
66,2020-07-01,184,제주,24.2,85,184.7,2.9,114.4,0.0,25.3,2020,7
67,2020-08-01,184,제주,29.4,74,140.4,2.9,239.5,0.0,30.4,2020,8
68,2020-09-01,184,제주,22.9,76,400.5,3.0,134.3,0.0,23.8,2020,9
69,2020-10-01,184,제주,18.4,61,53.7,2.9,180.0,0.0,19.5,2020,10
70,2020-11-01,184,제주,14.1,65,28.2,2.9,130.3,0.0,13.0,2020,11
71,2020-12-01,184,제주,7.7,61,29.5,3.4,96.2,2.1,7.1,2020,12
72,2021-01-01,184,제주,6.8,65,116.6,3.9,96.5,9.2,5.5,2021,1
73,2021-02-01,184,제주,9.4,62,52.8,3.9,141.2,1.8,9.0,2021,2
