이름,주소,주소2,위도,경도,구분
렛츠런팜양귀비꽃,제주특별자치도 제주시 조천읍 남조로 1649-48,조천읍 교래리,33.410330333335,126.675893703064,12
마라도(마라해양도립공원),제주특별자치도 서귀포시 대정읍 마라로101번길 46,대정읍 가파리,33.1186178022129,126.267092741572,12
마흐니숲길,제주특별자치도 서귀포시 남원읍 남조로 973,남원읍 수망리,33.3591180489091,126.692052896352,13
막숙,제주특별자치도 서귀포시 막숙포로37번길 2,법환동,33.2378661939026,126.515729529982,12
만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,구좌읍 월정리,33.5283774190136,126.771615754394,12
망장포,제주특별자치도 서귀포시 남원읍 하례망장포로 65-13,남원읍 하례리,33.25975689827,126.6395296858,11
매오름,제주특별자치도 서귀포시 표선면 표선리 산 2,표선면 표선리,33.3184736816392,126.813882760734,11
맬튼개갯담,제주특별자치도 제주시 구좌읍 구좌로 142,구좌읍 하도리,33.5207482180534,126.865587019925,13
명월팽나무군락,제주특별자치도 제주시 한림읍 명월로 71,한림읍 명월리,33.3870002233238,126.266642965736,12
모슬포항,제주특별자치도 서귀포시 대정읍 신영로36번길 48,대정읍 하모리,33.2190593080686,126.24841489851,11
모지오름,제주특별자치도 서귀포시 표선면 성읍리 산 22,표선면 성읍리,33.3963983819816,126.771767130403,13
모진이몽돌해변,제주특별자치도 제주시 추자면 신양리 56,추자면 신양리,33.9461033806051,126.333931047811,13
무수천,제주특별자치도 제주시 애월읍 무수천길,애월읍 광령리 ,33.464070499735,126.445529525449,12
문섬(서귀포해양도립공원),제주특별자치도 서귀포시 칠십리로,서귀동,33.2446749504884,126.592546723809,11
"물메(물미,수산봉)",제주특별자치도 제주시 애월읍 수산리 산 1-1,애월읍 수산리,33.4738174993593,126.382839395312,12
"미야즈클로젯(해녀복대여,해녀스냅사진촬영)",제주특별자치도 제주시 용마로4길 15,용담삼동,33.5154346159113,126.50667800976,11
미천굴,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,성산읍 삼달리,33.3849993747039,126.839859897606,12
민오름(조천읍),제주특별자치도 제주시 조천읍 선흘리 산 141,조천읍 선흘리,33.4454512015762,126.694700929642,13
바늘오름,제주특별자치도 제주시 조천읍 교래리 산 108,조천읍 교래리,33.4547981041557,126.652679893005,11
박수기정,제주특별자치도 서귀포시 안덕면 난드르로 90-25,안덕면 감산리,33.2371648156344,126.358749069441,11
발자국화석공원,제주특별자치도 서귀포시 대정읍 형제해안로 192,대정읍 상모리,33.2173594034123,126.293135312424,11
방선문,제주특별자치도 제주시 종천길 39-1,오라이동,33.4713429857029,126.502171579413,12
방일리공원,제주특별자치도 제주시 정원로 50,노형동,33.4791376264224,126.47624624632,12
백록담,제주특별자치도 서귀포시 토평동 산 15-1,토평동,33.3469026219773,126.535454418798,11
범섬,제주특별자치도 서귀포시 법환동,법환동,33.2431480688709,126.514144783946,12
법화사지,제주특별자치도 서귀포시 하원북로35번길 15-28,하원동,33.2653270960144,126.457602311547,12
별내린전망대,제주특별자치도 서귀포시 색달동 2938-1,색달동,33.2474860429014,126.416836511421,13
병악현무암지대,제주특별자치도 서귀포시 안덕면 사계리,안덕면 사계리,33.2316941376585,126.306514122101,11
보롬왓,제주특별자치도 서귀포시 표선면 번영로 2350-104,표선면 성읍리,33.4134956403949,126.752494805945,12
보목포구,제주특별자치도 서귀포시 보목포로 46,보목동,33.2392180366622,126.606761567165,11
붉은오름자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73,표선면 가시리,33.4014287623403,126.675670597493,12
비양도,제주특별자치도 제주시 한림읍 협재리,한림읍 협재리,33.3870124134431,126.245988070371,12
비양도등대,제주특별자치도 제주시 한림읍 비양도길 84비양도,한림읍 협재리,33.4058550511063,126.223186028509,12
비양도의비양나무자생지,제주특별자치도 제주시 한림읍 협재리 산 89,한림읍 협재리,33.4086784254916,126.225878708518,12
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,구좌읍 평대리,33.4910972819998,126.811461205688,12
비치미오름,제주특별자치도 제주시 구좌읍 송당리 산 255-1,구좌읍 송당리,33.4286615961813,126.7665020271,11
사계용머리해안(해산물),제주특별자치도 서귀포시 안덕면 사계남로216번길 28,안덕면 사계리,33.2337928076828,126.310841571449,11
사계해변,제주특별자치도 서귀포시 안덕면 사계리 2147-35,안덕면 사계리,33.2281557557917,126.30834680703,12
사계해안도로,제주특별자치도 서귀포시 안덕면 사계리,안덕면 사계리,33.2316941376585,126.306514122101,11
산방산수국,제주특별자치도 서귀포시 안덕면 산방로,안덕면 사계리 ,33.2360787889703,126.310064890731,13
산방산유람선,제주특별자치도 서귀포시 안덕면 화순해안로106번길 16,안덕면 화순리,33.2369971040116,126.335235246783,13
산방산탄산온천,제주특별자치도 서귀포시 안덕면 사계북로 41번길 192,안덕면 사계리,33.248216593136,126.298889672225,12
산지등대,제주특별자치도 제주시 사라봉동길 108-1 (건입동),건입동,33.5213876634633,126.545793983742,11
산천단,제주특별자치도 제주시 아라일동 375-4,아라일동,33.447338490736,126.554377685968,12
산천단곰솔,제주특별자치도 제주시 516로 3041-24,아라일동,33.4476478033609,126.554696497249,13
삼각봉,제주특별자치도 제주시 1100로 2070-61,해안동,33.3926868254858,126.494840454381,11
삼매봉,제주특별자치도 서귀포시 남성로115번길 83,서홍동,33.2438922693784,126.54634798881,13
삼양방파제,제주특별자치도 제주시 벌랑길,삼양일동,33.524397789047,126.576688647907,12
삼양해안도로,제주특별자치도 제주시 삼양2동,삼양이동,33.5228672016569,126.584664643949,11
새별프렌즈(새별헤이요목장),제주 제주시 애월읍 평화로 1529,애월읍 봉성리,33.361559082812,126.363653537792,12
새시물,제주특별자치도 제주시 한림읍 상한로,한림읍 상명리,33.3690608414727,126.26851758748,12
샤이니숲길,제주특별자치도 제주시 조천읍 교래리 719-10,조천읍 교래리,33.4272549268897,126.661749005986,12
서건도,제주특별자치도 서귀포시 강정동 산 1,강정동,33.230076674038,126.498485934147,12
서귀다원,제주특별자치도 서귀포시 516로 717,상효동,33.312800682694,126.59667132986,12
서귀포궁도장(천지정),제주특별자치도 서귀포시 중산간서로 97-40,강정동,33.259230240334,126.497966229758,11
서귀포자연휴양림,제주특별자치도 서귀포시 1100로 882,대포동,33.3115019573202,126.458754738051,12
서귀포층패류화석산지,제주특별자치도 서귀포시 남성중로 43,서홍동,33.2397954184801,126.558266050576,11
서귀포하영올레,제주특별자치도 서귀포시 중앙로 105,서홍동,33.2539547145487,126.559588270998,12
서귀포항,제주특별자치도 서귀포시 칠십리로72번길 14,서귀동,33.2389049787464,126.564869017701,12
서귀포해안,제주특별자치도 서귀포시 서호동,서호동,33.2641864864094,126.517346819897,13
서부두명품횟집거리,제주특별자치도 제주시 서부두길 16,건입동,33.5176776419349,126.528333876447,12
서영아리오름/용와이오름,제주 서귀포시 안덕면 상천리 산24,안덕면 상천리,33.325323922268,126.399957828137,11
서중천탐방로,제주특별자치도 서귀포시 남원읍 서성로 755,남원읍 한남리,33.3305225860707,126.673899820322,12
선운정사,제주특별자치도 제주시 애월읍 구몰동길 65,애월읍 봉성리,33.4293598179556,126.307146349055,12
설쿰바당,제주특별자치도 서귀포시 안덕면 사계리,안덕면 사계리,33.2316941376585,126.306514122101,12
섬생이,제주특별자치도 제주시 추자면 신양리 산 87,추자면 신양리,33.9399491102194,126.311274165209,12
섭지코지,제주 서귀포시 성산읍 고성리,성산읍 고성리,33.4493165910551,126.90826946679,12
성산~세화해안도로,제주특별자치도 서귀포시 성산읍 해맞이해안로 2636,성산읍 시흥리,33.4760692724374,126.909918457063,11
성산오조리해안,제주특별자치도 서귀포시 성산읍 해맞이해안로 2688,성산읍 오조리,33.471847863554,126.912703165215,11
성산유채꽃재배단지,제주특별자치도 서귀포시 성산읍 일출로,성산읍 고성리 ,33.4543685432767,126.925260144194,12
성산일출봉(UNESCO세계자연유산),제주특별자치도 서귀포시 성산읍 일출로 284-12,성산읍 성산리,33.462233758483,126.936800689963,13
성산포항,서귀포시 성산읍 성산등용로 130-21,성산읍 성산리,33.4729279933634,126.934506143367,11
성읍녹차마을,제주특별자치도 서귀포시 표선면 중산간동로 4778,표선면 성읍리,33.3809834680784,126.789974352157,11
성읍목장,제주특별자치도 서귀포시 표선면 성읍리 1734,표선면 성읍리,33.4043013364229,126.79182463446,12
성이시돌목장,제주특별자치도 제주시 한림읍 산록남로 53,한림읍 금악리,33.3459802899171,126.321867724832,12
섶섬(서귀포해양도립공원),제주특별자치도 서귀포시 마소물로,보목동,33.2509580442044,126.596773556246,12
세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,구좌읍 세화리,33.5233717133389,126.862239713197,12
